Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.638506,0.818768,0.634491,0.578302,0.631056,0.000000,0.000000,0.147422,0.393336,0.432994,0.450294,18.296077,40.157361,39.371056,0.746188,0.122881,
1,0.643142,0.816638,0.627267,0.591530,0.636246,0.288511,0.671439,0.197909,0.402967,0.438991,0.454259,18.247404,39.982482,39.383743,0.760536,0.012878,
2,0.646995,0.818518,0.644173,0.595425,0.636137,0.246129,0.288511,0.201697,0.404309,0.440358,0.454601,18.247172,39.815531,39.368437,0.760999,0.392521,
3,0.644679,0.817063,0.636196,0.589567,0.637578,0.227762,0.246129,0.203386,0.405445,0.441536,0.456875,18.257233,39.674563,39.347446,0.761544,0.071819,
4,0.645849,0.817459,0.632106,0.596847,0.637059,0.224888,0.227762,0.203017,0.405675,0.441670,0.454861,18.262449,39.608669,39.338551,0.761398,0.168422,
5,0.642801,0.819064,0.631419,0.588044,0.635481,0.221657,0.224888,0.202621,0.406198,0.441719,0.456872,18.268058,39.568024,39.331802,0.761507,0.000000,
6,0.647040,0.817472,0.635529,0.600728,0.636200,0.221657,0.221657,0.202754,0.406259,0.442258,0.455770,18.268593,39.538997,39.326856,0.761463,0.323967,
7,0.643039,0.820515,0.628802,0.589745,0.635509,0.220596,0.222213,0.202173,0.406350,0.442008,0.457149,18.272187,39.529807,39.327000,0.761479,0.000000,
8,0.646867,0.818282,0.638222,0.600902,0.634624,0.220596,0.220596,0.202587,0.406206,0.442158,0.457457,18.271812,39.517684,39.321288,0.761482,0.346065,
9,0.643824,0.820420,0.633569,0.589972,0.635513,0.220575,0.221576,0.202138,0.406337,0.442247,0.456970,18.274468,39.501020,39.324791,0.761510,0.000000,
10,0.647804,0.820407,0.642969,0.601034,0.634476,0.220575,0.220575,0.202637,0.406154,0.442514,0.456780,18.274015,39.501747,39.319564,0.761522,0.451707,
11,0.643816,0.818896,0.635924,0.589114,0.635594,0.220948,0.220948,0.202205,0.406223,0.442067,0.457281,18.276461,39.497893,39.321718,0.761544,0.000000,
12,0.637736,0.820822,0.630509,0.595891,0.619875,0.899937,0.943921,0.205356,0.406010,0.440852,0.454489,18.271853,39.473755,39.297249,0.763001,0.000000,
13,0.645493,0.816741,0.631549,0.607828,0.630171,0.706919,0.899937,0.211484,0.408060,0.443452,0.456054,18.273028,39.423858,39.302441,0.763186,0.310993,
14,0.642799,0.819633,0.634314,0.598652,0.628139,0.706919,0.706919,0.213093,0.408877,0.444897,0.456842,18.260762,39.395552,39.325891,0.763720,0.000000,
