Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.868405,0.882228,0.817832,0.837862,0.900757,0.000000,0.000000,0.427483,0.710060,0.751332,0.760523,25.416615,46.821690,45.626698,0.916515,44.943101,
1,0.868995,0.876410,0.817606,0.841534,0.901484,0.436530,1.695967,0.462132,0.712396,0.747589,0.752581,24.789264,45.944854,44.911347,0.921103,44.731317,
2,0.866540,0.876479,0.815503,0.838505,0.898569,0.303832,0.436530,0.463483,0.710890,0.745882,0.749104,24.675356,45.535414,44.724724,0.920784,43.860197,
3,0.868489,0.874554,0.815319,0.841803,0.901547,0.282156,0.303832,0.464096,0.711593,0.746084,0.749108,24.643620,45.252107,44.605329,0.920689,44.207532,
4,0.867403,0.876568,0.817441,0.838699,0.899695,0.268550,0.282156,0.461762,0.710242,0.744058,0.746251,24.616012,45.055504,44.544279,0.920218,43.776089,
5,0.870338,0.874229,0.816421,0.845635,0.903102,0.263252,0.268550,0.461853,0.710793,0.744160,0.747247,24.604266,44.905939,44.480912,0.920169,44.393609,
6,0.867338,0.875532,0.814908,0.838419,0.900914,0.259744,0.263252,0.460582,0.709677,0.743884,0.746562,24.588369,44.793260,44.451502,0.919872,43.780402,
7,0.869551,0.874422,0.815513,0.842837,0.903303,0.258746,0.259744,0.461072,0.710176,0.744289,0.747305,24.584578,44.718296,44.409114,0.919922,44.254931,
8,0.868227,0.874790,0.813282,0.842388,0.901284,0.257656,0.258746,0.459792,0.709177,0.742895,0.746530,24.575424,44.667001,44.413377,0.919705,43.929062,
9,0.870344,0.874166,0.816467,0.845690,0.903079,0.257596,0.257656,0.460748,0.710111,0.743547,0.747273,24.575177,44.621954,44.374134,0.919806,44.385952,
10,0.868267,0.874272,0.813467,0.842906,0.901148,0.257224,0.257596,0.459362,0.709110,0.743117,0.745987,24.570990,44.599439,44.390947,0.919629,43.911769,
11,0.869934,0.873975,0.815008,0.845317,0.902962,0.257224,0.257224,0.460646,0.710100,0.743634,0.747088,24.572403,44.580457,44.363696,0.919774,44.298166,
12,0.875096,0.877608,0.826770,0.876949,0.890659,0.291274,3.525166,0.470693,0.714506,0.747175,0.748863,24.816358,44.592773,44.324730,0.921817,45.447575,
13,0.876726,0.877073,0.826483,0.879824,0.892803,0.270389,0.291274,0.475145,0.715550,0.747768,0.749384,24.819278,44.599940,44.313432,0.922383,45.758761,
14,0.875249,0.879681,0.823879,0.876468,0.891743,0.270389,0.270389,0.471936,0.715369,0.747554,0.748805,24.812095,44.572224,44.305559,0.921886,45.446541,
15,0.870014,0.877375,0.827928,0.872847,0.881439,1.311032,1.311032,0.475706,0.715872,0.748841,0.752163,24.889680,44.507824,44.276879,0.922613,45.792643,
16,0.874645,0.881246,0.827765,0.875001,0.889569,1.361780,1.361780,0.476680,0.717374,0.749177,0.752671,24.940879,44.534930,44.300334,0.923008,46.768871,
17,0.870984,0.875510,0.818208,0.880323,0.883116,2.613716,2.613716,0.478579,0.718416,0.751158,0.753910,25.084662,44.635326,44.373951,0.923282,47.540565,
18,0.875043,0.882552,0.815753,0.866197,0.899382,2.034292,3.213527,0.482230,0.720975,0.754133,0.757989,25.294094,44.554535,44.287932,0.924524,48.001881,
19,0.874339,0.885603,0.837490,0.856872,0.894409,1.851150,2.034292,0.485291,0.723886,0.755293,0.757835,25.453324,44.676365,44.459050,0.925099,47.645373,
20,0.877213,0.885351,0.854773,0.844297,0.902051,1.851150,1.851150,0.487094,0.725476,0.758190,0.759929,25.593067,44.655804,44.453693,0.925622,48.401991,
21,0.880740,0.883225,0.822510,0.851865,0.917062,1.944940,1.970773,0.486642,0.723543,0.754946,0.758082,25.686557,44.727299,44.443048,0.925202,49.005361,
22,0.877530,0.883885,0.827701,0.857335,0.904725,1.944940,1.944940,0.487565,0.723368,0.755602,0.758405,25.812039,44.772533,44.479547,0.925470,48.414537,
23,0.879443,0.887186,0.831714,0.860933,0.904786,2.355598,2.355598,0.485918,0.721989,0.754212,0.757485,25.936315,44.820388,44.474453,0.925382,49.162331,
24,0.881077,0.887772,0.836822,0.866699,0.903275,2.269989,2.541157,0.484450,0.721300,0.752545,0.756132,26.018572,44.831549,44.463162,0.925874,49.266362,
