Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.912173,0.944563,0.896309,0.895284,0.919169,0.000000,0.000000,0.496700,0.714464,0.748133,0.764586,26.098871,42.540038,43.757186,0.929426,53.296485,
1,0.932884,0.953185,0.912053,0.918221,0.942954,2.934520,2.934520,0.564905,0.755379,0.784670,0.799240,27.748508,43.015066,45.592371,0.948246,63.705145,
2,0.948190,0.954616,0.917754,0.932223,0.965380,1.784194,3.101028,0.569585,0.759189,0.789520,0.804648,28.644392,43.376432,46.633293,0.950862,65.990366,
3,0.954647,0.956282,0.921625,0.941231,0.972470,1.043033,1.784194,0.570369,0.762569,0.792864,0.808194,28.725250,43.599068,47.173861,0.951233,66.772539,
4,0.958765,0.957008,0.922662,0.944257,0.979083,0.611636,1.043033,0.581523,0.764168,0.794336,0.809947,28.632688,43.675593,47.450495,0.952921,67.240534,
5,0.962596,0.959314,0.928737,0.947825,0.982737,0.400714,0.611636,0.592272,0.767058,0.796142,0.811192,28.559607,43.701996,47.582877,0.954051,67.882313,
6,0.961995,0.957053,0.924400,0.950356,0.982006,0.279441,0.400714,0.574154,0.765418,0.795675,0.811770,28.403815,43.756135,47.616205,0.951557,67.688618,
7,0.961249,0.956878,0.923859,0.947830,0.982073,0.227791,0.279441,0.575013,0.764947,0.796167,0.812076,28.350216,43.776905,47.669235,0.951716,67.511402,
8,0.962989,0.957598,0.923948,0.950386,0.984132,0.227791,0.227791,0.576008,0.765217,0.796284,0.811548,28.326300,43.772916,47.693486,0.952056,67.833389,
9,0.963662,0.959250,0.928926,0.948440,0.984666,0.223927,0.245816,0.593845,0.768225,0.797567,0.813162,28.377091,43.780663,47.720166,0.954094,68.063120,
10,0.961095,0.956652,0.923765,0.948083,0.981697,0.024737,0.223927,0.578410,0.765247,0.796175,0.811708,28.289280,43.747338,47.726756,0.952139,67.201160,
11,0.961566,0.956602,0.923801,0.947861,0.982829,0.024737,0.024737,0.578458,0.765321,0.796137,0.811574,28.283383,43.740735,47.721483,0.952133,67.287077,
12,0.943513,0.922568,0.888557,0.927065,0.975940,0.542230,0.542230,0.515252,0.748641,0.786389,0.804631,28.073939,43.834088,47.703418,0.946296,63.689215,
13,0.930593,0.890444,0.870681,0.916095,0.967953,0.776673,0.776673,0.480556,0.746047,0.786699,0.806386,27.892295,43.662785,47.659524,0.938516,61.601251,
14,0.921882,0.867170,0.846138,0.905359,0.968885,0.695394,0.959601,0.466789,0.738071,0.781924,0.804375,27.795711,43.754194,47.670874,0.934083,59.574702,
15,0.929552,0.880033,0.850694,0.915533,0.975044,0.695394,0.695394,0.465398,0.734698,0.778692,0.800798,27.765902,43.698824,47.636100,0.935423,60.806003,
16,0.918916,0.859855,0.838689,0.907827,0.965295,0.894127,0.894127,0.452124,0.738115,0.782910,0.804183,27.601166,43.755273,47.629726,0.930272,59.278040,
17,0.926978,0.876248,0.860716,0.901180,0.975204,0.928336,1.329556,0.463299,0.736722,0.779616,0.801807,27.551334,43.746379,47.653413,0.933310,60.640715,
18,0.926710,0.887140,0.867645,0.909804,0.965090,0.897816,0.928336,0.477820,0.742241,0.782851,0.803531,27.654331,43.633677,47.815810,0.937202,60.676473,
19,0.918776,0.877909,0.850590,0.903504,0.959452,0.897816,0.897816,0.477766,0.738738,0.780305,0.804461,27.636113,43.650397,47.736247,0.936484,59.088018,
20,0.923256,0.878563,0.850296,0.916185,0.961820,0.999914,1.073148,0.466332,0.738376,0.781180,0.802611,27.740605,43.777067,47.634721,0.934832,60.052637,
21,0.934229,0.900052,0.866770,0.909350,0.978205,0.999914,0.999914,0.479187,0.737963,0.780959,0.801090,27.470109,43.673775,47.752920,0.937698,62.114203,
22,0.936107,0.892685,0.863940,0.913701,0.982593,1.079116,1.752688,0.470297,0.728855,0.768979,0.789274,26.633231,43.585266,47.478843,0.938850,61.513215,
23,0.925100,0.867337,0.853503,0.908276,0.971611,0.754753,1.079116,0.452997,0.725489,0.770348,0.791069,26.512451,43.616540,47.439969,0.931860,59.189959,
24,0.924687,0.872147,0.849315,0.913986,0.967963,0.684373,0.754753,0.450650,0.719512,0.763241,0.782903,25.545943,43.684155,47.471757,0.931230,58.330788,
25,0.922365,0.870705,0.851367,0.905982,0.967120,0.470528,0.684373,0.453912,0.723537,0.766760,0.787261,26.282827,43.718074,47.518600,0.932764,57.973479,
26,0.928362,0.874365,0.850691,0.912907,0.975248,0.470528,0.470528,0.456541,0.722521,0.766465,0.786214,25.798824,43.682000,47.475941,0.933021,59.092657,
27,0.932596,0.882466,0.861107,0.919781,0.975097,0.648835,0.648835,0.464175,0.728298,0.770803,0.789935,26.513228,43.773687,47.545513,0.935826,60.446883,
28,0.936881,0.900570,0.872956,0.919844,0.975987,0.664448,0.664448,0.477626,0.733011,0.772017,0.788183,26.611638,43.863389,47.595374,0.939763,61.161392,
