Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.788207,0.763780,0.747933,0.785455,0.812506,0.000000,0.000000,0.269135,0.532685,0.596990,0.634564,21.383651,34.772141,32.798657,0.810128,24.272740,
1,0.784761,0.763101,0.742304,0.784183,0.807758,0.212085,1.596828,0.269370,0.533013,0.596891,0.633627,21.300846,34.968101,32.940131,0.810508,23.831878,
2,0.784225,0.762946,0.742284,0.783957,0.806720,0.101233,0.212085,0.269200,0.532678,0.596568,0.633758,21.286308,34.993271,32.957987,0.810451,23.652378,
3,0.784899,0.763409,0.746150,0.783841,0.806687,0.098720,0.101233,0.269346,0.532886,0.596809,0.634105,21.284330,34.993710,32.960834,0.810516,23.776684,
4,0.783577,0.762870,0.742784,0.783953,0.805091,0.098720,0.098720,0.269452,0.532869,0.596971,0.633750,21.284505,34.995596,32.962097,0.810518,23.540747,
5,0.782767,0.763062,0.747099,0.775097,0.806718,0.097942,0.098974,0.269206,0.532688,0.596920,0.633445,21.283902,34.995001,32.960546,0.810488,23.395865,
6,0.782700,0.763252,0.746552,0.775178,0.806672,0.097942,0.097942,0.269285,0.532745,0.596541,0.633869,21.284337,34.995854,32.960924,0.810506,23.396840,
7,0.784802,0.763389,0.745615,0.783837,0.806681,0.098538,0.098688,0.269300,0.532794,0.596800,0.633917,21.284068,34.994166,32.961005,0.810517,23.753860,
8,0.783577,0.762870,0.742782,0.783952,0.805090,0.098524,0.098538,0.269451,0.532875,0.596966,0.633754,21.284502,34.995597,32.962098,0.810518,23.540446,
9,0.784331,0.763034,0.742449,0.784290,0.806678,0.098197,0.098524,0.269340,0.532788,0.596840,0.633551,21.284138,34.995030,32.960088,0.810503,23.657960,
10,0.782767,0.763061,0.747100,0.775098,0.806718,0.097938,0.098197,0.269204,0.532686,0.596911,0.633476,21.283902,34.994992,32.960580,0.810488,23.397226,
11,0.782700,0.763254,0.746552,0.775179,0.806672,0.097938,0.097938,0.269284,0.532761,0.596542,0.633892,21.284336,34.995913,32.960899,0.810506,23.397687,
12,0.785311,0.764899,0.743215,0.779466,0.810883,1.115337,1.115337,0.269676,0.532523,0.596465,0.634195,21.307700,35.025988,32.992680,0.810356,24.773678,
13,0.788823,0.766265,0.749919,0.771587,0.820452,1.534074,2.468918,0.270471,0.535125,0.599304,0.636858,21.305692,35.072116,33.035182,0.810798,25.851910,
14,0.790466,0.767182,0.737798,0.770409,0.829212,0.805750,1.534074,0.271683,0.534393,0.598431,0.635382,21.313026,35.078997,33.042207,0.811299,25.385778,
15,0.791856,0.760345,0.736496,0.783102,0.827085,0.700036,0.805750,0.270727,0.534161,0.598792,0.634891,21.334430,35.078479,33.038959,0.811157,25.519419,
16,0.796541,0.763167,0.742260,0.789340,0.830750,0.700036,0.700036,0.270553,0.534055,0.598698,0.634694,21.320791,35.084148,33.045282,0.811342,26.305411,
17,0.800162,0.771831,0.745814,0.791848,0.833552,2.177048,3.784441,0.272078,0.537478,0.602227,0.639600,21.349228,35.119809,33.075547,0.811923,28.486865,
18,0.792785,0.768774,0.746553,0.778020,0.825098,2.177048,2.177048,0.270931,0.536788,0.601543,0.638754,21.415306,35.111046,33.074773,0.812030,27.200065,
19,0.794868,0.761776,0.737126,0.782424,0.833119,1.080797,2.687373,0.271592,0.537639,0.602334,0.638440,21.445444,35.107222,33.068073,0.812421,26.517099,
20,0.798370,0.773576,0.752613,0.779258,0.833703,0.698184,1.080797,0.270670,0.535567,0.601033,0.637892,21.467647,35.113087,33.069926,0.811681,26.768274,
21,0.796602,0.764073,0.752275,0.773380,0.835987,0.698184,0.698184,0.270621,0.537643,0.602944,0.640061,21.465314,35.125680,33.080966,0.811774,26.555652,
22,0.791603,0.771144,0.751611,0.770028,0.825097,0.843685,1.552443,0.272102,0.538010,0.602766,0.639465,21.515539,35.118054,33.074037,0.813148,25.788748,
23,0.792493,0.764017,0.750981,0.771629,0.828533,0.843685,0.843685,0.270824,0.537391,0.602820,0.639825,21.556385,35.128181,33.092879,0.812666,25.982352,
24,0.791917,0.766685,0.750908,0.769291,0.828003,1.088998,1.088998,0.272889,0.538266,0.603370,0.639456,21.577620,35.119785,33.081416,0.813365,26.063802,
25,0.789757,0.769188,0.753652,0.768927,0.821708,1.617641,1.617641,0.271607,0.537871,0.603036,0.639242,21.630750,35.131287,33.091088,0.812867,26.187284,
26,0.794059,0.767853,0.746840,0.782288,0.826720,2.279855,2.380296,0.273198,0.540179,0.605437,0.640625,21.655363,35.106931,33.071617,0.813743,27.570885,
27,0.796991,0.767245,0.739413,0.800778,0.825161,2.279855,2.279855,0.270798,0.538848,0.603700,0.639925,21.676555,35.101079,33.074586,0.812468,28.058425,
28,0.794757,0.771495,0.751641,0.793102,0.819095,2.706921,2.706921,0.272060,0.538298,0.603883,0.639350,21.722306,35.071709,33.046202,0.813308,28.049763,
29,0.802023,0.768794,0.747249,0.792075,0.838731,2.711928,2.783343,0.270604,0.536228,0.600629,0.636041,21.713508,35.043655,33.023823,0.812670,29.143517,
30,0.791074,0.767398,0.761510,0.776147,0.818189,2.711928,2.711928,0.270451,0.535228,0.599703,0.634711,21.681236,35.020359,33.003457,0.811973,27.218607,
31,0.787075,0.765533,0.745347,0.782475,0.812353,2.953466,2.953466,0.270955,0.535374,0.600108,0.637638,21.699405,35.043194,33.033118,0.812360,26.901407,
32,0.786999,0.768868,0.741058,0.800837,0.802163,2.832844,2.976787,0.271179,0.534833,0.598544,0.634381,21.678323,35.061345,33.041547,0.812114,26.607933,
33,0.785695,0.764592,0.762902,0.780896,0.803496,2.697643,2.832844,0.270389,0.533501,0.596924,0.631520,21.623402,35.032327,33.016860,0.811397,26.138606,
34,0.788621,0.769107,0.746103,0.794292,0.807489,2.697643,2.697643,0.270403,0.534328,0.597546,0.631738,21.604767,35.025306,33.008879,0.811035,26.634616,
35,0.783969,0.769938,0.745952,0.775630,0.807623,2.788784,2.788784,0.270833,0.532641,0.596095,0.633890,21.595984,35.040461,33.021566,0.811159,26.046721,
36,0.790232,0.770872,0.739531,0.782063,0.820107,2.875405,2.875405,0.270642,0.533814,0.596092,0.633260,21.571650,35.028333,33.011929,0.811383,27.131678,
37,0.806026,0.772546,0.758034,0.804735,0.834387,2.098896,3.012588,0.271015,0.533824,0.597489,0.633809,21.552114,35.029074,33.013722,0.811417,29.153531,
38,0.801804,0.763973,0.748744,0.807056,0.829793,2.098896,2.098896,0.270857,0.532177,0.595252,0.632241,21.506680,35.013135,32.995596,0.810427,28.358874,
39,0.791268,0.767542,0.741057,0.792259,0.816597,3.149683,3.149683,0.270411,0.532669,0.595275,0.633150,21.518648,35.028523,33.015772,0.810916,27.570626,
40,0.796482,0.762461,0.738760,0.807822,0.822012,3.338490,3.338490,0.270182,0.532155,0.595325,0.632836,21.528373,35.026285,33.012832,0.810630,28.632602,
41,0.783354,0.768868,0.747073,0.794059,0.795652,3.823155,3.823155,0.270841,0.531274,0.593422,0.628967,21.533095,35.028764,33.017760,0.810761,26.651839,
42,0.785919,0.769798,0.749388,0.779273,0.809069,4.974917,4.974917,0.270926,0.531884,0.594049,0.629467,21.583074,35.021925,33.011656,0.810546,28.167855,
43,0.798503,0.767084,0.752115,0.785403,0.833250,7.272826,7.272826,0.270650,0.531595,0.594183,0.628004,21.654335,34.987744,32.983530,0.810388,32.392011,
44,0.809793,0.774757,0.758838,0.796657,0.846844,9.445652,9.445652,0.270224,0.528756,0.591211,0.629619,21.753275,34.895683,32.900517,0.810290,36.455382,
45,0.801138,0.775683,0.750452,0.794114,0.831807,10.811809,10.811809,0.269947,0.526893,0.589735,0.627549,21.941463,34.767630,32.803771,0.809973,36.130482,
46,0.790829,0.780324,0.751901,0.762013,0.825346,11.702460,11.702460,0.273086,0.526318,0.587347,0.626617,22.044137,34.624019,32.712407,0.811837,35.086906,
47,0.806173,0.773005,0.736440,0.786024,0.852170,12.407413,12.407413,0.270559,0.521469,0.583275,0.623191,21.933595,34.360127,32.527739,0.809459,38.258950,
48,0.803693,0.782732,0.733521,0.750055,0.864763,13.162915,13.162915,0.267614,0.513820,0.575856,0.615645,21.824553,34.028078,32.242184,0.804263,38.217004,
49,0.785779,0.780322,0.722416,0.749925,0.831716,14.408935,14.408935,0.268348,0.503195,0.563170,0.603783,21.634200,33.751864,32.049000,0.800855,35.785924,
50,0.775628,0.784165,0.691578,0.726775,0.831106,14.694071,14.694071,0.272131,0.493098,0.550311,0.589627,21.406020,33.174735,31.569184,0.801515,33.760854,
51,0.739301,0.772052,0.678872,0.704659,0.772886,14.086624,14.833118,0.280038,0.485251,0.539587,0.577663,21.543416,33.479474,31.895894,0.809216,26.819574,
52,0.722339,0.774837,0.665871,0.708547,0.736241,13.850867,14.086624,0.287441,0.485897,0.538582,0.572682,21.453349,33.626766,31.994426,0.816079,23.649063,
53,0.745193,0.777430,0.674051,0.730759,0.771097,12.925811,13.850867,0.300010,0.494402,0.549068,0.587584,21.484511,33.931397,32.389766,0.828216,26.922897,
54,0.750761,0.771224,0.673823,0.694601,0.811301,12.316422,12.925811,0.315056,0.506604,0.560542,0.595861,21.396063,34.170132,32.703696,0.838061,27.403566,
55,0.705660,0.767881,0.667716,0.672571,0.720515,11.932627,12.316422,0.325799,0.517275,0.571375,0.610085,21.261309,34.524090,32.961621,0.843519,20.199216,
56,0.694386,0.769299,0.638158,0.656748,0.716083,11.932627,11.932627,0.327796,0.522295,0.578800,0.622115,20.685207,34.442620,32.857071,0.845243,18.891949,
57,0.695784,0.774048,0.621259,0.663031,0.719422,11.169261,12.105094,0.332535,0.524570,0.581706,0.622598,20.531976,34.137022,32.596578,0.848277,18.380653,
58,0.729056,0.791152,0.674505,0.704503,0.744305,10.536689,11.169261,0.334723,0.522982,0.579325,0.621904,20.191423,34.061051,32.592406,0.849593,23.109630,
59,0.719395,0.799473,0.667386,0.702126,0.722723,10.536689,10.536689,0.348257,0.546111,0.602487,0.643267,20.522248,35.186073,33.768572,0.862100,22.227264,
