Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.741619,0.819734,0.754782,0.746276,0.706882,0.000000,0.000000,0.349561,0.520721,0.544497,0.543905,16.942373,37.337819,37.627247,0.807084,11.806544,
1,0.733947,0.815889,0.749471,0.735419,0.699159,1.892293,3.784590,0.347582,0.516372,0.541380,0.542395,16.143011,36.798581,37.211246,0.795442,12.315562,
2,0.729680,0.813476,0.743099,0.730642,0.695571,0.952701,1.892293,0.347510,0.514291,0.539433,0.541014,15.764159,36.526570,36.973646,0.789598,10.810669,
3,0.727430,0.812374,0.740796,0.727856,0.693346,0.489881,0.952701,0.347294,0.513239,0.537943,0.540108,15.578479,36.384829,36.842039,0.786615,10.043583,
4,0.726946,0.811837,0.743105,0.726679,0.692193,0.248963,0.489881,0.347288,0.513308,0.538227,0.540235,15.484241,36.316546,36.777926,0.785096,9.765723,
5,0.725739,0.811558,0.739080,0.725942,0.691565,0.145284,0.248963,0.347231,0.512896,0.537317,0.540392,15.437588,36.282206,36.745379,0.784324,9.500256,
6,0.725484,0.811551,0.739181,0.725866,0.690984,0.110419,0.145284,0.347163,0.512718,0.537639,0.540539,15.414214,36.266569,36.728347,0.783925,9.444523,
7,0.725805,0.811482,0.741607,0.725581,0.690954,0.100945,0.110419,0.347068,0.512497,0.537273,0.540326,15.402593,36.256238,36.721280,0.783750,9.481733,
8,0.725771,0.811220,0.742478,0.724885,0.691021,0.098627,0.100945,0.347176,0.512827,0.537988,0.538251,15.396637,36.251220,36.718486,0.783646,9.394214,
9,0.725331,0.811558,0.739168,0.725230,0.691021,0.098317,0.098627,0.347103,0.513027,0.537900,0.539704,15.393826,36.249464,36.716807,0.783610,9.374019,
10,0.725398,0.811389,0.742214,0.724924,0.690176,0.097093,0.098317,0.347192,0.512556,0.537695,0.539983,15.392210,36.249680,36.715749,0.783537,9.403976,
11,0.725689,0.811599,0.741551,0.725219,0.690885,0.097093,0.097093,0.346841,0.513033,0.537307,0.539600,15.391619,36.246642,36.714600,0.783568,9.421416,
12,0.707074,0.785349,0.710602,0.713926,0.674948,1.077271,1.077271,0.330790,0.503920,0.532258,0.535838,15.407925,36.214620,36.712120,0.792177,7.640825,
13,0.698049,0.787032,0.698616,0.697335,0.667110,3.096953,3.096953,0.328181,0.499129,0.525697,0.526663,15.445851,36.248022,36.729100,0.791031,7.804533,
14,0.707978,0.789604,0.712276,0.709356,0.678146,3.403287,3.403287,0.327617,0.495767,0.522622,0.523934,15.478872,36.262929,36.748915,0.790365,9.548427,
15,0.715092,0.791354,0.713301,0.698065,0.701410,1.554546,3.563785,0.325637,0.492967,0.518824,0.519377,15.482153,36.224018,36.704597,0.789989,8.941311,
16,0.713818,0.788207,0.704101,0.699538,0.702141,1.554546,1.554546,0.325664,0.492382,0.517379,0.518836,15.472951,36.208715,36.697842,0.789754,8.737892,
17,0.697004,0.786677,0.716622,0.702306,0.655379,4.186476,4.186476,0.322826,0.488227,0.512810,0.514823,15.425351,36.146752,36.651692,0.788287,8.459899,
18,0.706113,0.784169,0.704503,0.700793,0.684386,4.690552,6.720508,0.318837,0.481378,0.505686,0.506042,15.409128,36.219264,36.712043,0.786729,10.152279,
