Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.637043,0.682886,0.588979,0.621374,0.653083,0.000000,0.000000,0.240937,0.388068,0.420232,0.443186,15.877719,42.521507,44.816224,0.731149,0.000000,
1,0.638842,0.685640,0.592154,0.621334,0.655332,1.530538,3.040885,0.240838,0.387068,0.419621,0.443203,15.590494,42.445565,44.814508,0.728047,0.228577,
2,0.640481,0.688504,0.593001,0.621638,0.657825,0.759779,1.530538,0.240833,0.386568,0.419393,0.443030,15.437321,42.378172,44.738300,0.726325,0.000000,
3,0.640524,0.687144,0.592286,0.621759,0.658465,0.390661,0.759779,0.241129,0.386373,0.419050,0.442964,15.359877,42.340158,44.695108,0.725462,0.000000,
4,0.640339,0.688897,0.592981,0.621612,0.657451,0.205940,0.390661,0.240926,0.385974,0.419146,0.443844,15.320886,42.320860,44.672075,0.724913,0.000000,
5,0.641083,0.688106,0.593739,0.621774,0.658948,0.131778,0.205940,0.241030,0.385877,0.418957,0.443449,15.300458,42.315400,44.660266,0.724699,0.000000,
6,0.641274,0.687998,0.594384,0.622005,0.659018,0.109062,0.131778,0.240994,0.385942,0.418572,0.443466,15.290434,42.305810,44.650981,0.724593,0.000000,
7,0.640660,0.689297,0.593610,0.621874,0.657679,0.101262,0.109062,0.241124,0.386030,0.418362,0.443648,15.285411,42.306446,44.651300,0.724543,0.000000,
8,0.641602,0.689499,0.594646,0.622364,0.659061,0.099775,0.101262,0.240980,0.386079,0.418520,0.442952,15.282742,42.301296,44.644922,0.724470,0.000000,
9,0.641473,0.689164,0.594040,0.622293,0.659122,0.098932,0.099775,0.241005,0.386244,0.418955,0.443224,15.281430,42.302318,44.642968,0.724440,0.000000,
10,0.641529,0.689179,0.593190,0.622914,0.659175,0.098231,0.098932,0.241029,0.386042,0.418791,0.442804,15.280954,42.305857,44.644794,0.724496,0.000000,
11,0.641006,0.688008,0.594782,0.622895,0.657708,0.098231,0.098231,0.241030,0.385910,0.418354,0.442865,15.280584,42.304709,44.643027,0.724507,0.000000,
12,0.630563,0.663409,0.579053,0.611001,0.653681,0.518277,0.518277,0.224478,0.380770,0.415638,0.441079,15.273747,42.321068,44.589959,0.732838,0.000000,
13,0.622706,0.637946,0.561950,0.604258,0.652927,1.002461,1.002461,0.220571,0.381607,0.416459,0.442456,15.293284,42.391007,44.587564,0.741446,0.000000,
14,0.624264,0.625520,0.550466,0.606994,0.662104,0.776349,1.386330,0.216350,0.379340,0.415208,0.441601,15.291030,42.418263,44.579524,0.740236,0.000000,
15,0.623370,0.636554,0.559915,0.604609,0.655245,0.776349,0.776349,0.217097,0.379137,0.414531,0.440167,15.297708,42.428310,44.612890,0.742326,0.000000,
16,0.619119,0.625602,0.548711,0.602831,0.653765,1.132031,1.132031,0.216682,0.379637,0.415855,0.442167,15.302105,42.414145,44.581154,0.742471,0.000000,
17,0.624641,0.640935,0.562091,0.609057,0.653285,1.205664,1.611341,0.215058,0.378474,0.414033,0.438892,15.304617,42.421742,44.463683,0.735043,0.000000,
18,0.622646,0.637185,0.558814,0.605846,0.653061,1.100048,1.205664,0.215276,0.380481,0.415743,0.441324,15.284988,42.416890,44.488200,0.731433,0.000000,
19,0.623199,0.633634,0.556081,0.605698,0.656354,1.100048,1.100048,0.216436,0.378806,0.415049,0.440261,15.287226,42.414394,44.541639,0.735613,0.000000,
20,0.625816,0.639076,0.564657,0.607760,0.656433,1.399892,1.447936,0.216908,0.378686,0.414987,0.440693,15.298071,42.411078,44.584266,0.742463,0.000000,
21,0.638310,0.650803,0.567692,0.608061,0.680342,1.399892,1.399892,0.218606,0.376257,0.411028,0.436425,15.264476,42.453979,44.552268,0.736494,0.594002,
22,0.632032,0.642783,0.564727,0.596433,0.676890,1.586131,2.357812,0.214601,0.376573,0.412014,0.438369,15.253651,42.383764,44.416155,0.735252,0.009213,
23,0.634368,0.628856,0.567834,0.595418,0.685383,1.006750,1.586131,0.215812,0.377012,0.411878,0.437727,15.272955,42.389100,44.482748,0.743106,0.000000,
24,0.630234,0.633685,0.562429,0.592626,0.678698,0.773728,1.006750,0.213563,0.373556,0.408723,0.434744,15.210933,42.401337,44.530931,0.741500,0.000000,
25,0.633049,0.629228,0.562470,0.595829,0.684121,0.630155,0.773728,0.214649,0.375014,0.410549,0.436049,15.257296,42.434689,44.588645,0.741763,0.000000,
26,0.622120,0.629013,0.561985,0.598906,0.657636,0.630155,0.630155,0.215134,0.376035,0.412125,0.438276,15.252528,42.397952,44.522238,0.741490,0.000000,
27,0.635154,0.636924,0.565277,0.600525,0.682931,0.761905,0.761905,0.215232,0.376693,0.411488,0.438033,15.286119,42.433787,44.583134,0.737997,0.000000,
28,0.632757,0.647916,0.569332,0.601620,0.672414,0.808252,0.808252,0.216940,0.377450,0.412465,0.437614,15.275819,42.417156,44.559512,0.733119,0.000000,
29,0.629703,0.637843,0.562527,0.598472,0.672823,1.678054,1.678054,0.214147,0.377790,0.412803,0.439106,15.265891,42.392147,44.500907,0.737607,0.000000,
30,0.632348,0.652710,0.571664,0.607648,0.665809,1.771429,2.440259,0.217026,0.378362,0.414906,0.440238,15.281214,42.338437,44.442601,0.738375,0.117874,
31,0.627696,0.631344,0.560039,0.611356,0.663066,1.424032,1.771429,0.211229,0.375653,0.412508,0.438839,15.259604,42.218850,44.268747,0.735142,0.000000,
32,0.640817,0.642708,0.565424,0.622360,0.680644,0.383851,1.424032,0.213745,0.376228,0.412643,0.439157,15.264023,42.213137,44.245156,0.736734,0.296066,
33,0.641893,0.638604,0.568370,0.620104,0.684483,0.383851,0.383851,0.213210,0.375986,0.412768,0.438310,15.257976,42.209957,44.233531,0.736189,0.428453,
34,0.635887,0.637870,0.568767,0.623830,0.668605,0.407922,0.407922,0.211607,0.375914,0.412896,0.438793,15.257093,42.196859,44.207614,0.735814,0.000000,
35,0.631020,0.633291,0.563645,0.623334,0.661210,1.357337,1.357337,0.212826,0.376814,0.413896,0.439379,15.275419,42.158112,44.090565,0.737279,0.000000,
36,0.635303,0.644217,0.567081,0.635444,0.659236,2.789506,2.789506,0.212309,0.374825,0.411914,0.438857,15.270001,42.014524,43.660265,0.737530,1.400934,
37,0.639339,0.642577,0.562929,0.643076,0.665997,4.195971,4.195971,0.213935,0.375470,0.411479,0.440182,15.272084,41.881804,43.536657,0.737607,2.957481,
38,0.643301,0.655374,0.574064,0.629542,0.676283,3.316035,4.735757,0.217237,0.375580,0.411970,0.440530,15.262733,41.669903,43.083379,0.735753,2.770263,
39,0.634271,0.642662,0.565094,0.617196,0.670768,3.316035,3.316035,0.214232,0.376497,0.412474,0.442433,15.256421,41.537603,42.813519,0.732740,1.655144,
40,0.634554,0.641412,0.567641,0.609551,0.675596,4.571345,5.069889,0.215021,0.375110,0.411365,0.439577,15.242628,41.347731,42.480064,0.730813,2.617553,
41,0.641512,0.646138,0.565203,0.615674,0.687185,4.571345,4.571345,0.214870,0.375233,0.411467,0.436434,15.225214,41.177881,42.272131,0.730970,3.435695,
42,0.639567,0.641719,0.568392,0.619069,0.680037,6.027331,6.027331,0.213657,0.374256,0.410115,0.433900,15.205920,40.988742,41.994613,0.728360,4.300069,
43,0.648621,0.647317,0.565616,0.649466,0.681012,5.967448,6.705724,0.215383,0.374494,0.409418,0.435664,15.189810,40.809085,41.658952,0.729570,5.444605,
44,0.638175,0.648062,0.570902,0.624003,0.671074,5.967448,5.967448,0.215330,0.374026,0.409171,0.438142,15.159390,40.622681,41.379285,0.728077,4.165510,
45,0.641225,0.645178,0.568459,0.608956,0.689391,6.670799,6.670799,0.216436,0.375000,0.409867,0.436788,15.129303,40.419378,41.058348,0.727710,5.028473,
46,0.643985,0.650883,0.573733,0.616849,0.686310,7.468975,7.468975,0.215647,0.375206,0.410104,0.434480,15.095889,40.276591,40.890617,0.726060,5.962169,
47,0.637132,0.650232,0.569057,0.645157,0.655364,6.523204,7.990014,0.215532,0.376738,0.411543,0.435038,15.062045,40.090660,40.654646,0.725394,4.284446,
48,0.645904,0.650653,0.574490,0.612927,0.695023,6.523204,6.523204,0.213078,0.374135,0.409193,0.435633,15.026154,39.960551,40.451483,0.722997,5.560035,
49,0.636456,0.650980,0.572107,0.597571,0.683222,7.139611,7.139611,0.212973,0.374049,0.408953,0.434177,14.994496,39.859565,40.341002,0.722753,4.791532,
50,0.638593,0.654910,0.575641,0.615987,0.672326,7.861548,7.861548,0.212011,0.372784,0.408261,0.431936,14.970273,39.786240,40.281095,0.720564,5.642477,
51,0.636470,0.658403,0.576139,0.611444,0.669257,9.965830,9.965830,0.212015,0.372393,0.406210,0.432988,14.925603,39.679512,40.115299,0.718412,7.094256,
52,0.639713,0.657495,0.573383,0.603661,0.682297,10.412041,10.412041,0.211285,0.369058,0.402597,0.427613,14.862133,39.593431,40.006729,0.717408,7.890217,
53,0.650389,0.653412,0.572579,0.630930,0.692208,11.015958,11.498734,0.209359,0.366170,0.399488,0.424028,14.807962,39.435650,39.776566,0.715736,9.818908,
54,0.645453,0.659307,0.579861,0.593374,0.698669,9.475082,11.015958,0.210172,0.364662,0.397944,0.424523,14.767350,39.337916,39.662180,0.716108,7.995387,
55,0.646141,0.659337,0.573405,0.630429,0.678861,9.475082,9.475082,0.210714,0.364451,0.396790,0.419887,14.729368,39.243938,39.544795,0.715445,7.989171,
