Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.854064,0.875284,0.807192,0.805736,0.893529,0.000000,0.000000,0.252393,0.518387,0.543284,0.536689,14.441225,41.723289,39.200577,0.763150,30.798377,
1,0.870840,0.880210,0.788129,0.834008,0.919114,0.461299,1.579290,0.288537,0.517193,0.537092,0.529096,14.565412,41.997667,39.553313,0.773209,33.449397,
2,0.874426,0.877307,0.806607,0.839077,0.918395,0.322543,0.461299,0.287391,0.515691,0.534509,0.526000,14.582945,41.985117,39.647603,0.773685,33.819003,
3,0.868671,0.880040,0.788486,0.830993,0.916071,0.285405,0.322543,0.287604,0.513412,0.532531,0.523575,14.583628,41.920868,39.675999,0.773803,32.721213,
4,0.869441,0.876577,0.787799,0.836281,0.915846,0.265215,0.285405,0.282033,0.512026,0.530939,0.522790,14.583194,41.868977,39.704064,0.773204,32.856874,
5,0.867101,0.875971,0.789759,0.826823,0.915690,0.251527,0.265215,0.283521,0.510538,0.529641,0.522334,14.583631,41.811294,39.713370,0.773494,32.433128,
6,0.873227,0.877674,0.792192,0.837330,0.921752,0.248105,0.251527,0.279255,0.509852,0.529244,0.521018,14.583085,41.772366,39.731688,0.772959,33.468471,
7,0.865685,0.874189,0.789241,0.826059,0.913670,0.243448,0.248105,0.281279,0.509299,0.528760,0.521410,14.583538,41.725460,39.724745,0.773283,32.181540,
8,0.873013,0.877617,0.794352,0.836951,0.920759,0.242540,0.243448,0.277902,0.509588,0.528306,0.520411,14.583489,41.698947,39.736623,0.772803,33.406675,
9,0.866986,0.878609,0.791812,0.826443,0.914223,0.239896,0.242540,0.280188,0.508963,0.528506,0.520528,14.583498,41.670321,39.732339,0.773205,32.377564,
10,0.869293,0.880174,0.792187,0.822856,0.920942,0.238609,0.239896,0.277448,0.508802,0.527455,0.519870,14.582757,41.654160,39.744902,0.772766,32.755760,
11,0.866969,0.877658,0.789311,0.828446,0.914139,0.238609,0.238609,0.279882,0.508325,0.527746,0.520004,14.583153,41.635567,39.734952,0.773149,32.360499,
12,0.868221,0.881327,0.784110,0.817258,0.924321,0.579235,0.579235,0.282515,0.509384,0.527594,0.520175,14.579694,41.604916,39.757169,0.774262,32.849267,
13,0.880614,0.874822,0.804155,0.828503,0.939901,0.596782,1.082396,0.292843,0.511231,0.529786,0.521972,14.604510,41.486043,39.788710,0.777704,34.980376,
14,0.864477,0.880922,0.795054,0.813954,0.914401,0.596782,0.596782,0.294090,0.510739,0.529424,0.520823,14.592243,41.532159,39.822426,0.775628,32.156280,
15,0.878038,0.874355,0.810438,0.842942,0.923865,0.870670,0.870670,0.295284,0.511628,0.528338,0.519434,14.569594,41.873320,39.980278,0.770653,34.641740,
16,0.864387,0.880163,0.797649,0.812868,0.914926,1.030433,1.387882,0.296851,0.510297,0.527653,0.516354,14.595063,41.975750,40.119987,0.775830,32.330244,
17,0.871495,0.874306,0.806491,0.833223,0.916965,0.970804,1.030433,0.300442,0.513396,0.530400,0.520688,14.625818,41.828366,40.008403,0.777144,33.607341,
18,0.861295,0.875464,0.800010,0.829033,0.898541,0.970804,0.970804,0.298753,0.511756,0.530337,0.519993,14.646790,41.973396,40.103267,0.777668,31.878183,
