Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.920004,0.960448,0.925824,0.914844,0.911804,0.000000,0.000000,0.494554,0.738262,0.774057,0.791582,25.688995,49.273633,49.044153,0.904100,57.196981,
1,0.931807,0.962506,0.932112,0.926217,0.927687,2.934520,2.934520,0.525062,0.746823,0.779848,0.796895,25.036694,49.009551,51.676421,0.913190,63.315605,
2,0.940402,0.964657,0.935580,0.936112,0.938613,1.784194,3.101028,0.532318,0.749485,0.782728,0.800353,24.037875,49.136289,52.655397,0.912177,64.033276,
3,0.945880,0.964777,0.940125,0.941041,0.945934,1.043033,1.784194,0.531356,0.750625,0.783119,0.801634,23.406158,49.037094,52.550965,0.910675,64.382945,
4,0.946595,0.964951,0.938026,0.944969,0.945875,0.611636,1.043033,0.554024,0.753682,0.784335,0.803087,23.045668,48.894745,52.322109,0.915559,64.079258,
5,0.946836,0.964971,0.938705,0.942139,0.947748,0.400714,0.611636,0.535556,0.749915,0.782238,0.800153,22.828734,48.792994,52.075856,0.909026,63.690985,
6,0.949637,0.964772,0.938960,0.944637,0.952267,0.279441,0.400714,0.533737,0.751949,0.784360,0.802285,22.710214,48.753560,51.913331,0.908647,64.324614,
7,0.950831,0.965160,0.939502,0.949135,0.952010,0.227791,0.279441,0.535724,0.752077,0.784143,0.802513,22.640435,48.714732,51.829833,0.908814,64.509057,
8,0.951492,0.964840,0.937518,0.950200,0.953545,0.227791,0.227791,0.538635,0.752526,0.784497,0.802764,22.607342,48.696379,51.792390,0.909604,64.661204,
9,0.949497,0.965338,0.938947,0.945136,0.951557,0.223927,0.245816,0.536592,0.750181,0.782549,0.802093,22.582977,48.689751,51.763000,0.908309,64.162327,
10,0.950855,0.964600,0.938691,0.950520,0.951683,0.024737,0.223927,0.538137,0.751536,0.783882,0.802504,22.569587,48.659766,51.762557,0.908310,64.262577,
