Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.996424,0.982385,0.977585,0.996771,1.008308,0.000000,0.000000,0.486153,0.759804,0.783314,0.788007,20.925872,44.632471,49.092621,0.907923,72.674635,
1,1.002427,0.982222,0.972689,0.998759,1.023278,0.688145,2.148385,0.567297,0.795882,0.819286,0.825294,21.749620,45.735707,49.675578,0.923109,78.227240,
2,1.007139,0.983553,0.979502,0.994652,1.033852,0.459757,0.688145,0.566194,0.809960,0.833867,0.844699,21.903533,46.501216,49.819583,0.922707,80.813105,
3,1.007017,0.980252,0.971520,0.998646,1.035538,0.341053,0.459757,0.578055,0.818107,0.842788,0.854303,21.968128,46.944291,49.752646,0.925047,81.624115,
4,1.016360,0.979568,0.976249,1.026431,1.039019,0.274650,0.341053,0.567634,0.822540,0.847413,0.859210,22.011800,47.181633,49.647155,0.923329,84.058113,
5,1.008460,0.978458,0.970785,1.001009,1.038536,0.234299,0.274650,0.576550,0.825661,0.850303,0.863981,22.042570,47.295775,49.528000,0.925123,82.771882,
6,1.017025,0.979332,0.977703,1.025820,1.040557,0.212634,0.234299,0.566026,0.826813,0.851530,0.865333,22.062481,47.327147,49.432208,0.923362,84.721462,
7,1.008923,0.978995,0.970201,1.000214,1.040240,0.201167,0.212634,0.575351,0.828422,0.853018,0.867125,22.076956,47.328712,49.334495,0.925063,83.159315,
8,1.017271,0.979863,0.978076,1.025520,1.041018,0.195316,0.201167,0.565609,0.828637,0.853511,0.867026,22.084687,47.295404,49.241195,0.923371,84.949593,
9,1.007102,0.977661,0.971087,0.996727,1.038227,0.191295,0.195316,0.573702,0.829216,0.854517,0.867549,22.090465,47.256909,49.179231,0.925003,82.851432,
10,1.017616,0.979999,0.977320,1.025807,1.041956,0.190584,0.191295,0.564527,0.829081,0.854242,0.867278,22.092613,47.230556,49.135734,0.923254,85.064643,
11,1.007873,0.978193,0.971862,0.997697,1.038983,0.190584,0.190584,0.573586,0.829852,0.854833,0.868234,22.094786,47.208497,49.115916,0.924925,83.075032,
12,0.962250,0.906145,0.897607,0.961047,1.009175,1.765394,1.765394,0.504853,0.801756,0.840347,0.860100,22.001898,47.249553,49.188371,0.927031,74.486151,
13,0.957793,0.916544,0.910386,0.932488,1.006062,2.625599,3.446211,0.502207,0.792881,0.831658,0.849477,22.005190,47.414618,49.443982,0.925980,73.526591,
14,0.956428,0.910910,0.878140,0.959925,1.001354,1.382754,2.625599,0.499575,0.785300,0.821662,0.835472,22.019577,47.633175,49.657657,0.924875,70.482454,
15,0.961748,0.912599,0.894378,0.952162,1.011828,1.382754,1.382754,0.498629,0.785151,0.821159,0.836009,22.102826,47.726069,49.798857,0.925276,71.606556,
16,0.954396,0.913306,0.905746,0.935724,1.000323,2.211973,2.211973,0.501775,0.790060,0.827104,0.844717,22.184305,47.624077,49.671809,0.926575,71.850036,
17,0.950942,0.917108,0.905247,0.926892,0.997306,2.803627,3.175730,0.502913,0.794865,0.832631,0.849416,22.113066,47.530473,49.449640,0.927822,72.329745,
18,0.959789,0.910153,0.886690,0.928667,1.026142,1.997005,2.803627,0.502689,0.801856,0.840434,0.863414,22.032313,47.260194,49.193729,0.926756,74.493115,
19,0.964209,0.906186,0.884182,0.946458,1.026260,1.997005,1.997005,0.514600,0.807473,0.844109,0.858664,21.909962,47.155627,49.046362,0.927093,75.157914,
20,0.969731,0.912354,0.893761,0.944613,1.036084,1.268309,2.027458,0.506361,0.799860,0.837773,0.855448,21.655644,47.019069,48.914154,0.923703,75.032158,
21,0.963941,0.918014,0.904705,0.940689,1.021672,1.268309,1.268309,0.506684,0.799104,0.834560,0.852022,21.605139,46.996108,48.877769,0.924135,73.465127,
22,0.949706,0.913349,0.893925,0.930465,0.999472,1.114307,1.663934,0.497500,0.786211,0.824328,0.841838,21.489944,47.003629,48.907762,0.921699,69.326053,
23,0.954891,0.917239,0.895513,0.944616,0.999787,1.036954,1.114307,0.504219,0.788707,0.823670,0.840533,21.420320,46.986392,48.896818,0.921255,70.158967,
24,0.962822,0.925556,0.916431,0.942090,1.007333,1.036954,1.036954,0.508971,0.789127,0.823953,0.841589,21.418890,46.912340,48.818814,0.921859,71.870626,
25,0.959002,0.904165,0.893105,0.936410,1.017861,1.025942,1.192996,0.489193,0.783434,0.821460,0.842468,21.395990,46.870085,48.752262,0.918659,71.122903,
26,0.959799,0.913701,0.896566,0.951704,1.004658,0.770809,1.025942,0.497820,0.790558,0.827574,0.845892,21.395705,46.835456,48.738716,0.920099,71.389955,
27,0.959689,0.907926,0.888359,0.937831,1.017796,0.770809,0.770809,0.496424,0.788413,0.825771,0.845745,21.409023,46.791443,48.672925,0.919898,71.306318,
28,0.963364,0.906377,0.883321,0.928583,1.034167,1.412230,1.412230,0.496239,0.789159,0.827094,0.847123,21.372598,46.708727,48.592202,0.919265,72.964735,
29,0.959104,0.899190,0.881156,0.918362,1.034372,1.423386,1.800115,0.489146,0.791028,0.828729,0.849218,21.345736,46.664847,48.519849,0.918285,72.313063,
30,0.968512,0.913332,0.900101,0.932128,1.036748,0.880836,1.423386,0.497324,0.795266,0.832753,0.849937,21.330844,46.607209,48.467477,0.919869,73.783124,
31,0.962866,0.911455,0.885450,0.914346,1.042262,0.880836,0.880836,0.504400,0.793355,0.830802,0.851319,21.295009,46.587383,48.445365,0.918756,72.627658,
32,0.969680,0.916837,0.901390,0.932630,1.039012,0.987823,0.987823,0.511371,0.800591,0.836262,0.855760,21.287633,46.621919,48.474545,0.920270,74.640356,
33,0.964969,0.907860,0.915783,0.938331,1.022112,0.923180,1.029165,0.499273,0.790267,0.828820,0.851068,21.275412,46.671189,48.560729,0.918955,73.052616,
34,0.955849,0.913099,0.884895,0.932046,1.014714,0.787369,0.923180,0.498718,0.788611,0.828800,0.847655,21.252670,46.684006,48.576793,0.918246,70.767928,
35,0.960619,0.912069,0.890968,0.948922,1.013825,0.787369,0.787369,0.496384,0.787908,0.826492,0.845780,21.181195,46.653760,48.544874,0.918119,71.548864,
36,0.955296,0.912602,0.893708,0.933628,1.007598,1.353003,1.652560,0.496372,0.785016,0.823359,0.843278,21.091633,46.532330,48.400245,0.917136,70.836533,
37,0.952687,0.909914,0.903301,0.929507,1.001426,1.353003,1.353003,0.497689,0.784980,0.822795,0.840852,20.979136,46.443897,48.301976,0.916950,70.101920,
