Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.936369,0.955615,0.921379,0.923618,0.943342,0.000000,0.000000,0.568564,0.793507,0.816804,0.818917,28.085780,46.702195,46.801798,0.952429,63.162090,
1,0.930666,0.952288,0.913646,0.909561,0.942383,0.424223,1.606960,0.573320,0.787948,0.809234,0.808863,27.091071,45.213196,45.568107,0.950769,61.563653,
2,0.934785,0.954730,0.920224,0.920068,0.942565,0.330535,0.424223,0.597543,0.789917,0.809588,0.807180,26.986033,44.876390,45.374435,0.954100,62.120754,
3,0.931934,0.952062,0.912635,0.910538,0.944941,0.309680,0.330535,0.574026,0.786834,0.807387,0.805838,26.909199,44.637153,45.222690,0.950528,61.422404,
4,0.934599,0.954268,0.919945,0.920490,0.942138,0.302122,0.309680,0.595485,0.789134,0.807995,0.805959,26.914538,44.527490,45.194693,0.953769,61.920310,
5,0.930490,0.951383,0.912331,0.908977,0.943005,0.296630,0.302122,0.571340,0.786059,0.806242,0.803482,26.865725,44.397021,45.109023,0.950180,60.924171,
6,0.934354,0.953964,0.919937,0.919293,0.942369,0.295658,0.296630,0.593948,0.788702,0.807395,0.803829,26.887196,44.361794,45.121074,0.953554,61.702541,
7,0.930578,0.951769,0.911888,0.909277,0.943070,0.293382,0.295658,0.570772,0.785772,0.806296,0.803840,26.847116,44.280800,45.064335,0.950041,60.967773,
8,0.934343,0.954581,0.919718,0.919604,0.942085,0.292654,0.293382,0.593272,0.788324,0.807098,0.803366,26.876764,44.278112,45.091704,0.953464,61.658910,
9,0.930376,0.951202,0.911784,0.908769,0.943103,0.292066,0.292654,0.570470,0.785658,0.805812,0.802044,26.841167,44.222237,45.038983,0.949989,60.787624,
