Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.995862,0.982526,0.980575,0.995339,1.006644,0.000000,0.000000,0.480928,0.763274,0.793902,0.810994,21.633480,48.505806,50.755626,0.906886,74.494086,
1,0.991153,0.986015,0.981822,0.962411,1.013994,0.688145,2.148385,0.558251,0.803205,0.834979,0.853830,22.590238,49.656904,51.279835,0.920191,78.467512,
2,1.009039,0.983152,0.979900,1.016793,1.024803,0.459757,0.688145,0.569293,0.820169,0.852833,0.876959,22.780389,49.942868,51.254035,0.923193,84.248881,
3,1.001166,0.982949,0.975085,0.975354,1.033601,0.341053,0.459757,0.577389,0.829991,0.863624,0.889076,22.856918,49.723540,51.011886,0.923842,83.712172,
4,1.015915,0.982608,0.978014,1.022363,1.038698,0.274650,0.341053,0.577060,0.836883,0.871444,0.897576,22.912464,49.353184,50.772188,0.924735,87.691630,
5,1.013499,0.981204,0.977068,1.026561,1.031343,0.234299,0.274650,0.579678,0.840726,0.874836,0.903560,22.947009,48.998370,50.550318,0.924494,87.701032,
6,1.014114,0.980991,0.977395,1.023708,1.034524,0.212634,0.234299,0.578329,0.843832,0.877859,0.905704,22.972882,48.675569,50.373630,0.925099,88.085766,
7,1.016432,0.981236,0.977993,1.024452,1.039247,0.201167,0.212634,0.580696,0.845647,0.879456,0.907761,22.987377,48.375512,50.214760,0.924684,88.778260,
8,1.017269,0.980449,0.978443,1.022967,1.042226,0.195316,0.201167,0.579346,0.846848,0.880678,0.908673,22.998528,48.118505,50.067977,0.925249,89.068559,
9,1.017683,0.979917,0.976622,1.029303,1.040311,0.191295,0.195316,0.579957,0.847225,0.881603,0.908439,23.002820,47.939674,49.960766,0.924667,89.169497,
10,1.016934,0.980023,0.975112,1.024876,1.041798,0.190584,0.191295,0.578849,0.847957,0.882301,0.908948,23.007251,47.817871,49.902977,0.925197,89.076909,
11,1.017486,0.980498,0.976186,1.027445,1.040977,0.190584,0.190584,0.580336,0.848131,0.882589,0.909116,23.007273,47.712348,49.860923,0.924637,89.216014,
12,0.960628,0.909074,0.898548,0.959557,1.004819,1.765394,1.765394,0.517035,0.822555,0.868190,0.899929,22.929036,47.552515,49.997124,0.931460,78.017216,
13,0.964103,0.918929,0.906525,0.944445,1.014223,2.625599,3.446211,0.512275,0.810519,0.856880,0.890247,22.956978,47.708729,50.265677,0.930553,78.658473,
14,0.955052,0.914458,0.882817,0.936841,1.009311,1.382754,2.625599,0.509170,0.800307,0.843817,0.871516,22.742075,47.970122,50.481992,0.928951,73.485496,
15,0.953544,0.915255,0.902576,0.940286,0.995648,1.382754,1.382754,0.506593,0.798792,0.841400,0.868514,22.706325,48.076220,50.628470,0.929116,72.878301,
16,0.963000,0.916733,0.904770,0.955105,1.007837,2.211973,2.211973,0.509228,0.804559,0.849407,0.881400,22.999914,47.994284,50.534180,0.930531,77.034096,
17,0.962704,0.919380,0.919945,0.942314,1.008840,2.803627,3.175730,0.511105,0.811351,0.857515,0.889118,23.070174,47.890798,50.267891,0.931740,78.514388,
18,0.960269,0.913104,0.887529,0.928782,1.025865,1.997005,2.803627,0.514359,0.819393,0.866632,0.903587,23.018595,47.656032,50.031865,0.930902,78.443787,
19,0.969278,0.913082,0.891690,0.964277,1.022205,1.997005,1.997005,0.524002,0.824146,0.868403,0.899460,22.883309,47.557924,49.885484,0.931344,80.065776,
20,0.963084,0.912857,0.895299,0.929597,1.028921,1.268309,2.027458,0.516248,0.817018,0.862146,0.893174,22.642013,47.472006,49.764204,0.928112,77.225329,
21,0.962649,0.921033,0.912666,0.936121,1.016950,1.268309,1.268309,0.516072,0.815680,0.857834,0.888071,22.598219,47.454551,49.727835,0.928903,76.598380,
22,0.948944,0.916569,0.908779,0.925883,0.993272,1.114307,1.663934,0.506120,0.801747,0.846962,0.878628,22.455694,47.476263,49.793254,0.926517,72.534502,
23,0.957412,0.921844,0.905424,0.951677,0.995621,1.036954,1.114307,0.513198,0.805329,0.847729,0.877471,22.398772,47.538117,49.817786,0.926460,74.115710,
24,0.963420,0.929715,0.927782,0.941580,1.003037,1.036954,1.036954,0.517885,0.804859,0.846822,0.874972,22.388345,47.471149,49.715179,0.926670,75.141874,
25,0.963343,0.907149,0.885797,0.925808,1.036728,1.025942,1.192996,0.499862,0.799901,0.844409,0.877742,22.381231,47.397194,49.631746,0.923824,75.290702,
26,0.961517,0.917594,0.902533,0.936565,1.014675,0.770809,1.025942,0.508304,0.806406,0.850618,0.882430,22.377416,47.443083,49.630899,0.925379,75.133820,
27,0.961940,0.911720,0.894677,0.929501,1.024546,0.770809,0.770809,0.504090,0.803364,0.848293,0.881214,22.357057,47.414785,49.533457,0.924435,75.068605,
28,0.971093,0.908554,0.910579,0.927541,1.041564,1.412230,1.412230,0.504744,0.804569,0.849477,0.883020,22.310249,47.336813,49.393315,0.923816,77.913806,
29,0.961760,0.902679,0.894165,0.920438,1.033141,1.423386,1.800115,0.497714,0.805828,0.849913,0.885060,22.271784,47.296807,49.271555,0.922850,76.155551,
30,0.974788,0.917581,0.899702,0.950373,1.038774,0.880836,1.423386,0.503566,0.807180,0.851034,0.884075,22.247097,47.205221,49.158876,0.923589,78.184370,
31,0.965844,0.910805,0.892145,0.921266,1.042531,0.880836,0.880836,0.511947,0.805633,0.849204,0.884633,22.194839,47.200605,49.132417,0.922520,76.269678,
32,0.979380,0.921233,0.907380,0.958374,1.041822,0.987823,0.987823,0.518852,0.813768,0.856558,0.890267,22.199048,47.241987,49.239011,0.924668,79.883766,
33,0.969785,0.909896,0.913539,0.939284,1.033246,0.923180,1.029165,0.507707,0.803707,0.848998,0.884571,22.203353,47.389141,49.352302,0.923556,77.148966,
34,0.957274,0.917080,0.895348,0.928940,1.014629,0.787369,0.923180,0.505714,0.801373,0.847637,0.881022,22.174177,47.368586,49.415828,0.922923,74.081124,
35,0.956054,0.914860,0.906996,0.940407,1.000705,0.787369,0.787369,0.503719,0.800046,0.846070,0.880247,22.141446,47.311221,49.401373,0.922755,73.723662,
36,0.960734,0.914163,0.906053,0.965632,0.995659,1.353003,1.652560,0.503774,0.798773,0.844401,0.879249,22.012085,47.129976,49.175654,0.921487,75.237847,
37,0.956964,0.911718,0.906555,0.946965,0.998697,1.353003,1.353003,0.504751,0.798943,0.843786,0.875006,21.895785,47.045837,49.014555,0.920548,74.117585,
38,0.953744,0.913449,0.895062,0.915970,1.019821,1.400185,1.400185,0.503536,0.793420,0.837788,0.873197,21.764030,47.015966,48.955188,0.918376,73.177889,
39,0.947465,0.918525,0.921957,0.924820,0.984830,1.500168,1.500168,0.497595,0.790510,0.835011,0.866286,21.621133,47.036600,48.926003,0.917304,71.421833,
40,0.941295,0.919964,0.897932,0.933643,0.972399,1.696172,1.696172,0.498848,0.788865,0.831982,0.859943,21.468874,46.922540,48.793223,0.916013,69.814020,
41,0.959170,0.922728,0.919076,0.960050,0.987951,2.155871,2.155871,0.495890,0.781794,0.824887,0.855946,21.271699,46.765883,48.560843,0.913706,73.550646,
42,0.951740,0.917447,0.912102,0.970250,0.968944,2.251804,2.251804,0.492968,0.779737,0.821100,0.850165,21.073251,46.704832,48.397728,0.911372,71.592296,
43,0.930094,0.913934,0.898097,0.916627,0.959450,2.461950,2.461950,0.489119,0.770927,0.813331,0.840846,20.835298,46.571425,48.160216,0.908995,66.505225,
44,0.931141,0.912497,0.892787,0.923810,0.959541,2.777363,2.777363,0.482435,0.763956,0.804134,0.831199,20.574140,46.364662,47.887022,0.905246,66.150263,
45,0.943899,0.924648,0.905641,0.922329,0.980380,3.448663,3.448663,0.477939,0.754920,0.793809,0.825077,20.238463,46.029972,47.411759,0.901990,68.817954,
