Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.849219,0.852857,0.805761,0.812321,0.881888,0.000000,0.000000,0.356179,0.595518,0.643398,0.681309,24.521544,40.724753,39.974026,0.851910,36.166828,
1,0.848795,0.852525,0.807091,0.809244,0.882106,0.414129,1.215072,0.373377,0.594785,0.638491,0.675209,24.502271,40.786550,40.108574,0.855950,35.978306,
2,0.848468,0.850289,0.810217,0.813459,0.878873,0.346234,0.414129,0.373677,0.593788,0.637157,0.673332,24.485905,40.741566,40.113073,0.855833,35.739548,
3,0.850906,0.851375,0.815984,0.813184,0.881904,0.332945,0.346234,0.373734,0.593912,0.637262,0.673132,24.479562,40.700219,40.124583,0.855747,36.157463,
4,0.848951,0.850038,0.816048,0.814960,0.877251,0.326727,0.332945,0.372798,0.592964,0.636752,0.672895,24.471552,40.669553,40.113646,0.855544,35.796620,
5,0.848658,0.851061,0.810148,0.808917,0.881362,0.323731,0.326727,0.372553,0.593023,0.636407,0.671633,24.467766,40.641494,40.117031,0.855440,35.666972,
6,0.848585,0.849239,0.816008,0.814446,0.876975,0.322986,0.323731,0.371897,0.592807,0.636103,0.672133,24.463372,40.623495,40.111569,0.855387,35.681415,
7,0.848681,0.849711,0.812833,0.809043,0.880828,0.322584,0.322986,0.372078,0.593121,0.635916,0.671378,24.461983,40.611591,40.113220,0.855372,35.647639,
8,0.848384,0.850136,0.810658,0.814658,0.877949,0.321991,0.322584,0.371613,0.592316,0.635291,0.671246,24.458786,40.603040,40.113325,0.855310,35.591315,
9,0.848913,0.849850,0.814178,0.809102,0.880811,0.321624,0.321991,0.371832,0.592951,0.635767,0.671326,24.458894,40.598267,40.112913,0.855338,35.687614,
10,0.847871,0.848490,0.813265,0.812223,0.877723,0.321624,0.321624,0.371476,0.592325,0.635927,0.670763,24.456025,40.597870,40.108782,0.855296,35.485856,
11,0.848801,0.850396,0.810862,0.809196,0.881463,0.322030,0.322030,0.371936,0.592893,0.635790,0.671460,24.457703,40.595533,40.108252,0.855339,35.675818,
