Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.701719,0.633626,0.581063,0.666773,0.788239,0.000000,0.000000,0.164959,0.316443,0.363070,0.399230,16.368536,34.622771,32.385340,0.718515,10.076133,
1,0.701234,0.632860,0.582298,0.666860,0.786717,0.112106,0.983360,0.165106,0.316857,0.363175,0.398714,16.470175,34.757945,32.502757,0.720209,10.063262,
2,0.700537,0.632894,0.579305,0.666590,0.786405,0.099020,0.112106,0.165012,0.316724,0.363522,0.398987,16.476037,34.766589,32.511185,0.720271,9.973017,
3,0.701007,0.632883,0.581963,0.666550,0.786511,0.098269,0.099020,0.165042,0.316812,0.363333,0.399258,16.476957,34.768009,32.510992,0.720287,10.036533,
4,0.700624,0.632549,0.580232,0.666364,0.786486,0.097594,0.098269,0.165058,0.316907,0.363570,0.399979,16.476712,34.768429,32.511084,0.720300,9.995505,
5,0.701107,0.632712,0.582266,0.666770,0.786528,0.097594,0.097594,0.165072,0.316921,0.363145,0.399553,16.476807,34.767850,32.510749,0.720303,10.051553,
6,0.700749,0.633059,0.580639,0.666438,0.786444,0.098472,0.098472,0.165150,0.316797,0.363211,0.399566,16.476940,34.769100,32.510226,0.720305,10.009197,
7,0.700223,0.632540,0.577102,0.666606,0.786626,0.098402,0.099057,0.165072,0.316911,0.363361,0.399244,16.476658,34.768314,32.511374,0.720308,9.929894,
8,0.700977,0.632733,0.582193,0.666429,0.786470,0.098402,0.098402,0.165053,0.316870,0.363192,0.399204,16.476845,34.768434,32.511664,0.720278,10.029998,
9,0.701107,0.632712,0.582266,0.666770,0.786528,0.098407,0.098677,0.165072,0.316921,0.363145,0.399553,16.476807,34.767850,32.510749,0.720303,10.052125,
10,0.701007,0.632883,0.581963,0.666550,0.786511,0.098275,0.098407,0.165042,0.316812,0.363333,0.399258,16.476957,34.768009,32.510992,0.720287,10.036537,
11,0.700694,0.632745,0.580707,0.666577,0.786281,0.098275,0.098275,0.164927,0.316785,0.363536,0.399878,16.476771,34.767304,32.510783,0.720304,10.009403,
12,0.703954,0.624877,0.582354,0.682022,0.785393,1.035586,1.035586,0.164588,0.317533,0.364200,0.400009,16.487534,34.797859,32.537470,0.720232,11.075924,
13,0.702427,0.632886,0.588068,0.668797,0.785866,2.112061,2.112061,0.165357,0.317158,0.364245,0.401741,16.490341,34.811138,32.556063,0.720809,11.693132,
14,0.694025,0.636014,0.581245,0.674416,0.765575,2.777297,2.777297,0.164956,0.317220,0.364565,0.402464,16.497010,34.858685,32.592842,0.720600,11.089326,
15,0.684525,0.626572,0.591724,0.658022,0.753267,2.716162,2.813016,0.165054,0.317893,0.364634,0.403038,16.519334,34.886824,32.617413,0.721239,9.792486,
16,0.685954,0.626923,0.595858,0.655168,0.757209,2.716162,2.716162,0.166104,0.318540,0.366080,0.407131,16.531988,34.924030,32.649101,0.721593,10.017121,
17,0.672503,0.628431,0.594553,0.640436,0.735306,3.664045,3.664045,0.166352,0.319679,0.366714,0.407521,16.538576,34.969963,32.682601,0.721915,8.928026,
18,0.671596,0.626404,0.586338,0.644174,0.735206,4.188029,6.297269,0.165387,0.319323,0.366817,0.408482,16.572959,35.046032,32.757468,0.721553,9.238525,
19,0.679459,0.626415,0.594645,0.665535,0.737092,4.001452,4.188029,0.165915,0.320090,0.367339,0.409607,16.600225,35.090492,32.796754,0.722276,10.102408,
20,0.665329,0.625536,0.583658,0.642750,0.723551,4.001452,4.001452,0.165740,0.318951,0.366629,0.408869,16.617473,35.141569,32.844607,0.722313,8.318853,
21,0.665144,0.623160,0.576366,0.670106,0.707860,3.932050,4.281874,0.165577,0.319187,0.367600,0.410491,16.638883,35.180011,32.881933,0.722721,8.264368,
22,0.667789,0.627148,0.585278,0.668979,0.708936,3.932050,3.932050,0.165539,0.317804,0.366016,0.410027,16.656567,35.196313,32.905679,0.722604,8.655446,
23,0.663501,0.624215,0.583245,0.664387,0.703157,4.312337,4.694098,0.164877,0.316862,0.364638,0.408906,16.662305,35.206465,32.929984,0.722387,8.415595,
24,0.678029,0.623929,0.586819,0.667647,0.734344,4.219237,4.312337,0.163912,0.315805,0.363740,0.406711,16.676533,35.248018,32.972396,0.722511,10.222155,
25,0.673081,0.622020,0.579272,0.668130,0.726795,3.674245,4.219237,0.163289,0.314541,0.362026,0.405070,16.688173,35.278858,33.007141,0.721875,9.218498,
