Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.786933,0.867494,0.816464,0.811544,0.740701,0.000000,0.000000,0.582634,0.706250,0.721328,0.726576,16.568377,39.768683,37.974336,0.902650,26.114376,
1,0.795847,0.873533,0.824939,0.819546,0.750832,1.530538,3.040885,0.598245,0.715886,0.730329,0.735701,17.286505,40.294181,38.482227,0.915199,29.973911,
2,0.800394,0.875879,0.827991,0.823810,0.756545,0.759779,1.530538,0.598571,0.720698,0.735742,0.739937,17.668914,40.565888,38.757282,0.919580,30.311482,
3,0.802962,0.876947,0.830650,0.826036,0.759608,0.390661,0.759779,0.601259,0.723339,0.737963,0.742650,17.864272,40.715292,38.892967,0.922161,30.565972,
4,0.804574,0.878162,0.833274,0.827003,0.761315,0.205940,0.390661,0.602634,0.724621,0.739107,0.744191,17.965434,40.793860,38.965129,0.923482,30.767231,
5,0.804912,0.878435,0.832639,0.827586,0.761863,0.131778,0.205940,0.603322,0.724968,0.739824,0.744351,18.015518,40.834575,39.003686,0.924112,30.771348,
6,0.804882,0.878500,0.832008,0.827556,0.762028,0.109062,0.131778,0.603727,0.725621,0.739859,0.744820,18.041150,40.847240,39.020772,0.924437,30.760596,
7,0.805353,0.878436,0.832924,0.828319,0.762285,0.101262,0.109062,0.603814,0.725772,0.740117,0.744902,18.054800,40.861621,39.030812,0.924621,30.849631,
8,0.805200,0.878584,0.832507,0.828119,0.762177,0.099775,0.101262,0.603913,0.725758,0.740209,0.745021,18.060995,40.863738,39.036741,0.924689,30.828802,
9,0.805369,0.878891,0.832681,0.827910,0.762547,0.098932,0.099775,0.603920,0.725821,0.740362,0.744985,18.064688,40.864374,39.038842,0.924732,30.860664,
10,0.805394,0.878482,0.833318,0.827764,0.762555,0.098231,0.098932,0.604068,0.725791,0.740341,0.744968,18.066298,40.867035,39.040532,0.924758,30.862796,
11,0.805486,0.878947,0.832958,0.828349,0.762420,0.098231,0.098231,0.609061,0.725749,0.740282,0.744963,18.067347,40.866005,39.039745,0.925876,30.861012,
12,0.786731,0.819662,0.796000,0.815171,0.757241,0.518277,0.518277,0.478206,0.708554,0.731355,0.739807,17.969607,40.922483,39.056299,0.913839,28.102653,
13,0.770344,0.760110,0.761193,0.803179,0.756005,1.002461,1.002461,0.419247,0.700187,0.726263,0.736615,17.831674,40.904118,39.035762,0.898169,25.771728,
14,0.757514,0.708161,0.731958,0.793185,0.757347,0.776349,1.386330,0.397356,0.697264,0.724830,0.734060,17.764554,40.924605,39.083304,0.892329,23.259436,
15,0.763011,0.724339,0.748683,0.796627,0.757203,0.776349,0.776349,0.394507,0.694204,0.722085,0.731662,17.738956,40.932871,39.094704,0.894351,24.096669,
16,0.753391,0.694088,0.723380,0.792683,0.755152,1.132031,1.132031,0.374973,0.689699,0.720689,0.732115,17.693180,40.925933,39.076076,0.885582,22.939729,
17,0.761952,0.720237,0.744296,0.794293,0.759042,1.205664,1.611341,0.389174,0.695405,0.722584,0.732086,17.750817,40.929955,39.042137,0.889608,24.386965,
18,0.769745,0.749889,0.756384,0.802222,0.759697,1.100048,1.205664,0.406506,0.702164,0.727615,0.736374,17.823317,40.949948,39.081445,0.896177,25.831820,
19,0.762754,0.728057,0.741013,0.795474,0.759315,1.100048,1.100048,0.406686,0.695624,0.722584,0.732389,17.789663,40.921438,39.058132,0.895224,24.325030,
20,0.761742,0.726520,0.746090,0.797148,0.754468,1.399892,1.447936,0.394922,0.692503,0.721759,0.731963,17.726731,40.938685,39.092232,0.893299,24.521533,
21,0.773380,0.771701,0.772152,0.799849,0.757766,1.399892,1.399892,0.420678,0.687213,0.717289,0.727474,17.727479,40.942158,39.101646,0.899857,26.155620,
22,0.770100,0.766444,0.766030,0.792493,0.758502,1.586131,2.357812,0.410045,0.696519,0.720840,0.729999,17.760997,40.921185,39.086385,0.898334,25.909943,
23,0.753762,0.701433,0.742083,0.779554,0.755273,1.006750,1.586131,0.381318,0.680640,0.711438,0.723461,17.630730,40.902283,39.056373,0.887627,22.276772,
24,0.759987,0.723864,0.750695,0.783908,0.757557,0.773728,1.006750,0.389192,0.673706,0.703084,0.711773,17.420662,40.895486,39.053151,0.890288,22.358887,
25,0.762268,0.718003,0.747068,0.786503,0.763922,0.630155,0.773728,0.384087,0.676051,0.702720,0.709569,17.583491,40.900740,39.053428,0.889045,22.485737,
26,0.761287,0.720981,0.751132,0.784418,0.760801,0.630155,0.630155,0.390653,0.675552,0.705254,0.715944,17.520511,40.903800,39.059935,0.890267,22.686751,
27,0.766154,0.735217,0.759496,0.785666,0.764210,0.761905,0.761905,0.398734,0.682653,0.711198,0.720758,17.670184,40.923625,39.075325,0.894461,23.913699,
28,0.771929,0.767736,0.774741,0.794725,0.757564,0.808252,0.808252,0.418846,0.690655,0.716128,0.724224,17.740523,40.937210,39.083586,0.900440,25.047115,
29,0.770910,0.758810,0.765637,0.800347,0.757529,1.678054,1.678054,0.400614,0.690247,0.715636,0.723946,17.696113,40.913919,39.063447,0.894555,25.827190,
30,0.771306,0.763671,0.769457,0.796281,0.758317,1.771429,2.440259,0.409980,0.691891,0.721162,0.733452,17.781696,40.902398,39.045911,0.897370,26.588715,
31,0.767512,0.745415,0.756799,0.799302,0.757348,1.424032,1.771429,0.399554,0.695064,0.721519,0.733448,17.807525,40.941110,39.093411,0.894633,25.586060,
32,0.768244,0.752944,0.762787,0.799496,0.754706,0.383851,1.424032,0.399451,0.691341,0.720978,0.732913,17.833185,40.941380,39.083854,0.895770,24.694247,
33,0.765362,0.737250,0.756763,0.795328,0.757014,0.383851,0.383851,0.391802,0.689680,0.720607,0.732235,17.820028,40.951600,39.099348,0.892990,24.210856,
34,0.761328,0.724640,0.749439,0.789452,0.757578,0.407922,0.407922,0.385427,0.685162,0.717534,0.730796,17.803832,40.945983,39.099264,0.890738,23.478861,
35,0.758505,0.711530,0.738116,0.791047,0.757951,1.357337,1.357337,0.382281,0.690029,0.722897,0.736071,17.802437,40.949896,39.117770,0.888952,24.288941,
36,0.767034,0.752301,0.763244,0.793611,0.755453,2.789506,2.789506,0.390258,0.684769,0.717164,0.732316,17.879892,40.933571,39.102282,0.894206,26.906747,
37,0.766513,0.750297,0.765807,0.788972,0.756636,4.195971,4.195971,0.397408,0.687755,0.719334,0.734882,17.951785,40.894407,39.075990,0.895207,28.337595,
38,0.778323,0.777844,0.774937,0.799156,0.766121,3.316035,4.735757,0.412035,0.688235,0.717579,0.730024,18.059161,40.909833,39.088564,0.897938,29.171143,
39,0.774406,0.756684,0.758737,0.798846,0.769220,3.316035,3.316035,0.396231,0.685628,0.716815,0.732683,18.099601,40.863945,39.017845,0.892997,28.724394,
40,0.774361,0.746613,0.756343,0.795128,0.775309,4.571345,5.069889,0.398609,0.687485,0.716220,0.729940,18.188070,40.921395,39.055615,0.891937,29.767487,
41,0.776150,0.748779,0.761063,0.798253,0.775003,4.571345,4.571345,0.400377,0.685042,0.714282,0.729921,18.296845,40.920568,39.085024,0.891649,30.070453,
42,0.772463,0.741993,0.754628,0.799538,0.770172,6.027331,6.027331,0.392576,0.679099,0.709814,0.724616,18.404233,40.920101,39.054938,0.889346,30.584877,
43,0.777721,0.760426,0.771362,0.793851,0.774435,5.967448,6.705724,0.393455,0.679236,0.710905,0.726832,18.552955,40.925451,39.078285,0.890808,31.624135,
44,0.777372,0.760913,0.763884,0.792013,0.777500,5.967448,5.967448,0.393344,0.678005,0.708280,0.721349,18.679699,40.906244,39.049834,0.891509,31.201212,
45,0.776581,0.758972,0.767329,0.796103,0.772288,6.670799,6.670799,0.393031,0.677290,0.707316,0.722090,18.836419,40.880641,39.069282,0.891318,31.797097,
46,0.780880,0.765079,0.767349,0.796814,0.780242,7.468975,7.468975,0.388607,0.673826,0.705712,0.721488,19.021869,40.898150,39.106123,0.890313,33.377644,
47,0.777569,0.757293,0.760009,0.792959,0.780088,6.523204,7.990014,0.383898,0.667444,0.699980,0.717051,19.191924,40.920305,39.133042,0.889208,31.559730,
48,0.778564,0.755834,0.762836,0.800788,0.776575,6.523204,6.523204,0.380397,0.663396,0.695261,0.710535,19.354831,40.964803,39.174768,0.888906,31.341301,
49,0.785025,0.760407,0.763880,0.809367,0.784395,7.139611,7.139611,0.377884,0.657071,0.690360,0.707834,19.524700,41.000996,39.229139,0.887775,32.970274,
50,0.787940,0.762634,0.769732,0.810031,0.787901,7.861548,7.861548,0.377625,0.656012,0.688483,0.705149,19.718848,41.087315,39.309396,0.888118,34.041230,
51,0.781929,0.762425,0.762055,0.797239,0.785181,9.965830,9.965830,0.372985,0.649406,0.682611,0.697658,19.928053,41.167911,39.401654,0.887216,34.611246,
52,0.780304,0.767224,0.771362,0.796999,0.776762,10.412041,10.412041,0.371360,0.643673,0.678200,0.696212,20.171279,41.238503,39.453225,0.887414,34.678446,
53,0.779651,0.754277,0.773884,0.793979,0.779614,11.015958,11.498734,0.361820,0.635751,0.671732,0.689031,20.372306,41.246207,39.503333,0.885388,34.781159,
54,0.785637,0.766698,0.779565,0.800354,0.783960,9.475082,11.015958,0.359886,0.631821,0.667811,0.684990,20.584851,41.240618,39.544378,0.885485,34.119009,
55,0.784684,0.767567,0.778914,0.796316,0.784441,9.475082,9.475082,0.356432,0.623590,0.660638,0.676568,20.736582,41.231562,39.582062,0.884595,33.500435,
56,0.786010,0.764727,0.774241,0.795398,0.790484,9.800679,10.579565,0.354069,0.618221,0.654478,0.671625,20.871372,41.185063,39.596021,0.882890,33.768047,
57,0.784473,0.768417,0.764518,0.787110,0.795181,9.800679,9.800679,0.346737,0.607131,0.644942,0.661160,21.022344,41.153684,39.669707,0.879464,32.986206,
58,0.794712,0.774526,0.774822,0.794362,0.808009,10.909899,11.047704,0.344026,0.599900,0.637994,0.658042,21.119119,41.099358,39.708584,0.876897,35.714753,
59,0.786665,0.776718,0.772354,0.784271,0.795987,10.853591,10.909899,0.340759,0.593059,0.632031,0.651452,21.180662,41.069910,39.771045,0.874779,33.924817,
60,0.787984,0.803507,0.799797,0.820401,0.760802,10.853591,10.853591,0.372368,0.582019,0.605675,0.616915,17.735812,43.764294,42.071952,0.860934,32.070988,
61,0.782473,0.798556,0.797159,0.796291,0.763817,12.561996,12.561996,0.377610,0.585710,0.610220,0.618657,18.462901,43.847512,42.187469,0.870170,32.827214,
62,0.792991,0.810836,0.806781,0.805507,0.775559,11.745862,13.192480,0.383178,0.595627,0.620711,0.633562,19.254218,43.985456,42.390443,0.882156,34.594178,
63,0.809407,0.811387,0.819217,0.825597,0.795350,11.745862,11.745862,0.391343,0.605607,0.631668,0.648670,19.888717,44.205913,42.632064,0.893770,38.289346,
64,0.819364,0.825855,0.822129,0.836532,0.806624,10.769454,12.125060,0.401114,0.617124,0.642460,0.654238,20.769446,44.549174,42.975282,0.905414,39.416299,
65,0.829135,0.833289,0.816421,0.854176,0.817351,10.769454,10.769454,0.413440,0.632172,0.658244,0.670893,21.523891,44.802881,43.265957,0.915404,42.160030,
66,0.846095,0.827477,0.829859,0.849613,0.855545,10.855714,10.855714,0.427618,0.651383,0.677344,0.689756,22.417294,45.255892,43.739252,0.927640,46.579639,
67,0.839345,0.832064,0.827859,0.848302,0.840601,9.470696,10.975184,0.449901,0.674408,0.699155,0.710563,23.632427,45.681983,44.204693,0.939303,45.276505,
68,0.853099,0.835759,0.828577,0.863699,0.861521,7.670556,9.470696,0.460618,0.695869,0.722527,0.732880,24.781207,46.171657,44.759265,0.947467,47.689443,
69,0.870840,0.842261,0.835080,0.875491,0.889462,7.427833,7.670556,0.481612,0.719576,0.744676,0.753303,25.695887,46.589827,45.299138,0.955247,52.465039,
70,0.904959,0.936375,0.912754,0.900143,0.895585,7.222891,7.427833,0.672096,0.783666,0.795328,0.800723,27.980784,47.159120,45.908123,0.977478,63.114290,
71,0.862927,0.839217,0.843991,0.865933,0.875691,6.608274,7.222891,0.494985,0.742485,0.769320,0.781875,26.836122,46.837560,45.671551,0.956807,52.345812,
72,0.859418,0.854711,0.835277,0.855883,0.871495,6.608274,6.608274,0.494474,0.737771,0.764620,0.775626,26.751526,46.769572,45.686138,0.956282,51.151485,
73,0.853440,0.844125,0.827191,0.850207,0.868504,6.614405,6.651382,0.489690,0.726883,0.753520,0.763148,26.436630,46.461478,45.507279,0.953125,48.977294,
74,0.853758,0.844004,0.820439,0.858784,0.866009,6.614405,6.614405,0.489074,0.731947,0.757968,0.768604,26.400666,46.606378,45.893125,0.952847,49.467308,
75,0.854496,0.840698,0.828958,0.845062,0.874755,6.533995,6.737689,0.484121,0.727912,0.754544,0.766857,26.176133,46.471390,45.851743,0.950961,49.365465,
76,0.847915,0.831827,0.831410,0.845559,0.860082,6.533995,6.533995,0.484116,0.726487,0.753481,0.763211,25.991568,46.450856,45.898524,0.950022,47.834759,
77,0.846051,0.829166,0.831466,0.841621,0.859727,6.567400,6.567400,0.483244,0.725535,0.751757,0.761517,25.813110,46.421336,45.898056,0.949185,47.363365,
78,0.838331,0.828540,0.819438,0.834125,0.850898,6.828586,6.828586,0.483318,0.723934,0.748764,0.757263,25.509440,46.066405,45.403262,0.948187,45.810065,
79,0.826579,0.827040,0.813996,0.824595,0.832523,7.011450,7.011450,0.481130,0.720198,0.744111,0.751666,25.257512,45.672123,44.862074,0.946798,43.311235,
80,0.840860,0.824228,0.822100,0.837656,0.854282,7.722963,7.722963,0.479696,0.723848,0.748669,0.756438,25.216938,45.387020,44.450351,0.946365,47.202804,
81,0.838017,0.823747,0.815656,0.841541,0.848502,8.750793,8.750793,0.475223,0.726436,0.751759,0.760601,25.211733,45.513860,44.628169,0.945420,48.066279,
82,0.839828,0.829433,0.830760,0.858017,0.835601,9.963366,9.963366,0.474141,0.731903,0.758195,0.765503,25.313588,45.728327,44.959746,0.945277,50.125446,
83,0.842364,0.826927,0.828369,0.833977,0.856728,10.744280,11.000182,0.471844,0.738932,0.765435,0.772971,25.364580,45.810321,45.176050,0.944869,52.052260,
84,0.847821,0.841997,0.839810,0.852095,0.849910,10.744280,10.744280,0.481902,0.744187,0.769811,0.777670,25.645222,46.098170,45.402689,0.947711,53.494503,
85,0.907264,0.950947,0.916164,0.907151,0.890891,10.765509,10.765509,0.704153,0.802425,0.811649,0.809667,27.030110,46.744402,45.955604,0.976930,68.688981,
