Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.591495,0.715071,0.610582,0.610992,0.541565,0.000000,0.000000,0.188704,0.316948,0.345410,0.365665,14.121441,38.673623,35.217066,0.662789,0.000000,
1,0.597116,0.719027,0.612861,0.616807,0.548464,1.530538,3.040885,0.189345,0.318820,0.347136,0.368209,14.386962,38.740658,35.291065,0.666959,0.000000,
2,0.601085,0.721225,0.615033,0.619199,0.554391,0.759779,1.530538,0.189631,0.319692,0.348683,0.369887,14.513710,38.763703,35.323362,0.668830,0.000000,
3,0.602513,0.721007,0.617827,0.619617,0.556284,0.390661,0.759779,0.190034,0.320747,0.349379,0.370709,14.574749,38.779859,35.337760,0.669684,0.000000,
4,0.602849,0.721437,0.617142,0.620001,0.556914,0.205940,0.390661,0.190116,0.320559,0.349726,0.371065,14.605468,38.779684,35.342983,0.670062,0.000000,
5,0.603395,0.721386,0.618844,0.619785,0.557639,0.131778,0.205940,0.190152,0.320838,0.349677,0.370899,14.620470,38.784209,35.349762,0.670252,0.000000,
6,0.603590,0.721560,0.617285,0.620946,0.557881,0.109062,0.131778,0.190157,0.320630,0.349764,0.372115,14.627971,38.788512,35.349058,0.670426,0.000000,
7,0.603250,0.721561,0.617308,0.620076,0.557651,0.101262,0.109062,0.190149,0.320960,0.349610,0.371338,14.631905,38.788766,35.349174,0.670434,0.000000,
8,0.603686,0.721696,0.618472,0.620746,0.557740,0.099775,0.101262,0.190116,0.320760,0.349892,0.371259,14.633801,38.786400,35.350662,0.670488,0.000000,
9,0.603754,0.722634,0.618351,0.620626,0.557775,0.098932,0.099775,0.190192,0.320926,0.350377,0.371554,14.634640,38.786579,35.348353,0.670453,0.000000,
10,0.604027,0.723221,0.618424,0.620548,0.558258,0.098231,0.098932,0.190113,0.320884,0.350167,0.371258,14.635150,38.784484,35.352359,0.670466,0.000000,
11,0.603999,0.721921,0.618829,0.620916,0.558148,0.098231,0.098231,0.190180,0.320919,0.349773,0.371293,14.635433,38.788515,35.348969,0.670495,0.000000,
12,0.597738,0.716966,0.610775,0.617129,0.550659,0.518277,0.518277,0.190876,0.322736,0.351182,0.371564,14.596175,38.610176,35.103268,0.669720,0.000000,
13,0.593142,0.707788,0.610494,0.622548,0.539466,1.002461,1.002461,0.191355,0.323853,0.351834,0.372215,14.738602,38.849191,35.467463,0.671248,0.000000,
