Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.281640,0.605629,0.353436,0.239452,0.187695,0.000000,0.000000,0.087423,0.129007,0.123938,0.107784,9.324356,31.528034,29.915356,0.478975,0.000000,
1,0.280036,0.603727,0.353669,0.238418,0.185454,0.232017,1.767638,0.086383,0.127382,0.122751,0.108191,9.443978,31.515821,29.897350,0.482674,0.000000,
2,0.278728,0.602503,0.349822,0.235813,0.185977,0.100300,0.232017,0.086348,0.127972,0.122355,0.107367,9.458812,31.514711,29.893875,0.483062,0.000000,
3,0.279053,0.602885,0.354090,0.235584,0.185043,0.097169,0.100300,0.086068,0.126972,0.122700,0.107563,9.460504,31.512972,29.894721,0.483099,0.000000,
4,0.277225,0.601336,0.344356,0.235676,0.185118,0.097169,0.097169,0.086133,0.127310,0.121720,0.105862,9.460747,31.513884,29.894770,0.483119,0.000000,
5,0.279346,0.601613,0.345817,0.241180,0.185945,0.097318,0.097318,0.085850,0.127550,0.120926,0.107872,9.460714,31.513697,29.894548,0.483107,0.000000,
6,0.278310,0.601671,0.347854,0.235965,0.185947,0.096949,0.097579,0.086257,0.127187,0.121620,0.106556,9.460764,31.513536,29.893596,0.483127,0.000000,
7,0.279316,0.601830,0.356117,0.235908,0.184953,0.096229,0.096949,0.086067,0.128102,0.122276,0.106857,9.460699,31.513067,29.894624,0.483107,0.000000,
8,0.277472,0.601233,0.346522,0.235370,0.185042,0.096229,0.096229,0.086057,0.127674,0.121949,0.105856,9.460792,31.512227,29.894220,0.483101,0.000000,
9,0.277225,0.601336,0.344356,0.235676,0.185118,0.097109,0.097109,0.086133,0.127310,0.121720,0.105862,9.460747,31.513884,29.894770,0.483119,0.000000,
10,0.279346,0.601613,0.345817,0.241180,0.185945,0.097318,0.097318,0.085850,0.127550,0.120926,0.107872,9.460714,31.513697,29.894548,0.483107,0.000000,
11,0.280394,0.601242,0.349724,0.244215,0.185042,0.097337,0.097337,0.086220,0.127300,0.121762,0.106696,9.460624,31.513738,29.893579,0.483117,0.000000,
12,0.284454,0.604326,0.356592,0.252234,0.185091,0.582813,0.582813,0.085460,0.125986,0.120134,0.102097,9.546776,30.430642,29.252862,0.484457,0.000000,
13,0.282996,0.610195,0.365477,0.249499,0.178304,0.624109,1.482496,0.088493,0.129537,0.123735,0.107219,9.628562,28.891822,28.472790,0.489710,0.000000,
14,0.277926,0.595028,0.360506,0.240935,0.177787,0.624109,0.624109,0.087986,0.127949,0.122641,0.109255,10.048622,30.014132,29.213909,0.504138,0.000000,
15,0.271939,0.601055,0.375471,0.235719,0.159216,1.061460,1.061460,0.088817,0.130424,0.124124,0.110712,9.764770,30.895919,29.551738,0.497988,0.000000,
16,0.270257,0.600984,0.350570,0.222079,0.173393,1.274185,1.960091,0.087755,0.130661,0.124590,0.113251,10.082732,28.792496,28.333654,0.501954,0.000000,
17,0.264982,0.602633,0.353753,0.221156,0.159665,1.179722,1.274185,0.088837,0.130307,0.121557,0.108474,9.740702,30.123319,29.324210,0.499010,0.000000,
18,0.267894,0.611838,0.350577,0.236824,0.155036,1.179722,1.179722,0.087922,0.126693,0.119532,0.103814,9.476548,29.204408,28.657888,0.485128,0.000000,
19,0.274789,0.598999,0.366424,0.233939,0.169478,1.950815,1.950815,0.086626,0.128705,0.121198,0.107661,9.487919,31.312248,29.867217,0.485454,0.000000,
20,0.267565,0.599461,0.347627,0.242622,0.153851,2.149745,2.149745,0.086371,0.127901,0.121366,0.108708,9.708604,29.732910,28.990285,0.492136,0.000000,
21,0.276926,0.603414,0.334978,0.249125,0.175019,1.822007,3.219514,0.088285,0.130887,0.125582,0.103918,9.835374,30.495406,29.454227,0.495959,0.000000,
22,0.296306,0.614834,0.353368,0.286820,0.184998,0.705253,1.822007,0.088048,0.127085,0.118412,0.100950,9.747588,29.216738,28.596329,0.498688,0.000000,
23,0.284506,0.614489,0.344061,0.275033,0.168997,0.649192,0.705253,0.088571,0.126479,0.120093,0.100677,9.975182,29.358004,28.654571,0.505545,0.000000,
24,0.290858,0.598393,0.341344,0.253849,0.202965,0.649192,0.649192,0.084818,0.127436,0.120439,0.101286,9.581013,30.315978,29.146690,0.488598,0.000000,
25,0.276999,0.598498,0.338781,0.247896,0.175174,1.330625,1.330625,0.086045,0.127899,0.123656,0.109374,9.933925,30.510870,29.418391,0.503496,0.000000,
26,0.277061,0.600914,0.350897,0.239158,0.175618,1.556422,1.556422,0.086369,0.126824,0.122722,0.105104,9.763777,29.732871,28.926407,0.493560,0.000000,
27,0.281015,0.597765,0.357457,0.224886,0.192506,1.675281,1.675281,0.088051,0.127170,0.122906,0.107020,9.892841,31.025027,29.760381,0.500054,0.000000,
28,0.271953,0.602033,0.336935,0.220750,0.181793,1.333522,2.078011,0.084908,0.124423,0.119398,0.106800,9.591570,29.787176,28.805611,0.485828,0.000000,
29,0.289163,0.602732,0.344433,0.253673,0.198112,0.621184,1.333522,0.088647,0.126102,0.120647,0.106467,9.888468,31.023440,29.709829,0.499457,0.000000,
30,0.293088,0.603248,0.353025,0.258040,0.200257,0.621184,0.621184,0.085979,0.128041,0.120900,0.109354,9.777892,30.892429,29.661738,0.491695,0.000000,
31,0.275669,0.599169,0.352545,0.233700,0.176519,0.815127,0.815127,0.086644,0.127367,0.123888,0.110044,9.619261,30.070770,29.115221,0.490631,0.000000,
32,0.281226,0.605773,0.347593,0.243147,0.184632,0.855972,0.922440,0.087680,0.128751,0.119621,0.106451,9.592205,30.062087,29.194504,0.489596,0.000000,
33,0.279591,0.604637,0.342122,0.245232,0.181536,0.637325,0.855972,0.086954,0.126770,0.122458,0.109037,9.741568,28.688331,28.261716,0.494834,0.000000,
34,0.285442,0.599635,0.355174,0.250111,0.188397,0.637325,0.637325,0.087487,0.129043,0.120945,0.106921,9.613373,28.931260,28.401577,0.488312,0.000000,
35,0.290707,0.604329,0.340282,0.252389,0.205538,1.567008,1.567008,0.085012,0.125950,0.121906,0.105982,9.519023,31.234668,29.675132,0.483360,0.000000,
36,0.280222,0.606944,0.366343,0.241729,0.178785,5.877013,5.927329,0.085804,0.124836,0.118078,0.101297,9.601771,30.196849,29.055582,0.486022,0.000000,
37,0.296615,0.610101,0.366788,0.261894,0.202898,5.877013,5.877013,0.086519,0.130259,0.120528,0.101441,9.541136,31.194076,29.580978,0.478991,0.000000,
38,0.309895,0.607528,0.362568,0.246406,0.243702,6.817790,6.817790,0.086215,0.131442,0.126058,0.110077,9.571451,29.637158,28.901233,0.480850,0.000000,
39,0.299235,0.613146,0.378035,0.265515,0.198546,7.025961,7.025961,0.087548,0.131157,0.123788,0.100209,9.585081,30.433297,29.189365,0.480814,0.000000,
40,0.305793,0.617068,0.361557,0.258204,0.220599,7.610506,7.610506,0.088699,0.131227,0.125490,0.105174,9.871301,29.333031,28.529924,0.493317,0.000000,
41,0.275236,0.612338,0.371105,0.252575,0.149823,8.737141,8.737141,0.086838,0.132198,0.124343,0.107005,9.461059,31.683293,29.903326,0.475530,0.000000,
42,0.307957,0.616354,0.380340,0.253417,0.224191,9.457243,9.457243,0.090525,0.138122,0.133419,0.114689,9.970541,28.264232,27.933552,0.491654,0.000000,
43,0.305732,0.624982,0.369677,0.286500,0.197898,9.861157,9.861157,0.090585,0.140841,0.134904,0.115537,9.910480,29.239694,28.559901,0.486985,0.000000,
44,0.306002,0.635228,0.374945,0.262251,0.203079,10.759461,10.759461,0.092764,0.139399,0.134553,0.117652,9.488471,28.853276,28.411455,0.467102,0.000000,
45,0.326702,0.637645,0.393569,0.286189,0.231839,12.339812,12.339812,0.092511,0.143036,0.138866,0.119202,9.344134,29.232959,28.605333,0.446866,0.000000,
46,0.342273,0.648009,0.407101,0.276473,0.263808,13.184304,14.095654,0.098639,0.153747,0.151691,0.124339,9.622215,30.004549,29.110407,0.467335,0.000000,
47,0.349592,0.648795,0.417365,0.336222,0.236463,12.819940,13.184304,0.097297,0.153532,0.152168,0.130495,9.551686,31.067379,29.651331,0.466917,0.000000,
48,0.349636,0.670873,0.446799,0.323368,0.230917,12.819940,12.819940,0.100037,0.158607,0.157082,0.138733,9.648506,30.332505,29.155624,0.476256,0.000000,
49,0.376223,0.685434,0.473329,0.383464,0.237503,13.853859,14.145845,0.107931,0.173838,0.173231,0.156534,9.961993,29.699755,28.709093,0.479683,0.000000,
50,0.397644,0.706067,0.469239,0.376950,0.280678,12.925223,13.853859,0.116136,0.188045,0.189853,0.165255,10.036819,30.704018,29.326104,0.490020,0.000000,
51,0.452639,0.740703,0.485527,0.421605,0.366091,10.632653,12.925223,0.123684,0.211289,0.211834,0.189098,9.884070,30.763356,29.237341,0.501323,0.000000,
52,0.445761,0.785573,0.519315,0.415401,0.324717,8.520159,10.632653,0.139256,0.233034,0.237711,0.212971,10.127207,29.931191,28.703275,0.512067,0.000000,
53,0.475582,0.779190,0.563303,0.404915,0.389203,7.554730,8.520159,0.147632,0.242151,0.256785,0.223382,10.255740,31.178270,29.452080,0.532752,0.000000,
54,0.473861,0.790534,0.570347,0.410550,0.367965,4.608687,7.554730,0.153726,0.258687,0.274378,0.244906,10.102496,30.967278,29.230222,0.534129,0.000000,
55,0.485047,0.779631,0.572622,0.460816,0.361569,4.608687,4.608687,0.157522,0.262891,0.279158,0.249611,9.994660,31.023045,29.167828,0.533791,0.000000,
56,0.481103,0.780295,0.617341,0.393397,0.385030,4.934768,5.265887,0.159755,0.267260,0.282405,0.263477,10.112855,30.940046,29.188158,0.532527,0.000000,
57,0.474904,0.774022,0.572860,0.468010,0.339653,3.318692,4.934768,0.161516,0.271489,0.294333,0.279392,10.173082,30.867108,29.120287,0.546665,0.000000,
58,0.482330,0.772184,0.547607,0.429513,0.389417,2.255242,3.318692,0.162251,0.271971,0.294510,0.275005,10.342868,30.503895,28.980153,0.551370,0.000000,
59,0.496218,0.777164,0.585614,0.399708,0.425161,2.255242,2.255242,0.162113,0.273807,0.308441,0.281814,10.262046,30.181603,28.719935,0.550766,0.000000,
60,0.442445,0.766873,0.578789,0.380747,0.314602,2.479607,2.479607,0.167670,0.276499,0.302240,0.299000,10.320949,28.229113,27.313782,0.603430,0.000000,
61,0.453220,0.775791,0.563899,0.395455,0.336926,1.799502,2.486331,0.166201,0.272106,0.303705,0.285280,10.310474,28.252488,27.279465,0.603974,0.000000,
62,0.454583,0.779295,0.543655,0.397082,0.350502,1.363366,1.799502,0.164731,0.270956,0.302792,0.275919,10.538986,28.777709,27.556462,0.607755,0.000000,
63,0.449198,0.766866,0.544533,0.392757,0.345442,1.044723,1.363366,0.164957,0.272516,0.301866,0.279960,10.337793,28.398890,27.302123,0.604192,0.000000,
64,0.448870,0.772830,0.557462,0.398429,0.334140,1.013760,1.044723,0.166555,0.273880,0.304055,0.287933,10.432739,28.569314,27.424390,0.608733,0.000000,
65,0.439820,0.770068,0.552924,0.393081,0.318319,1.013760,1.013760,0.166701,0.273492,0.302986,0.293127,10.518577,28.127160,27.251117,0.605717,0.000000,
66,0.429253,0.772906,0.528025,0.389718,0.301248,0.790109,1.280249,0.166539,0.272893,0.302518,0.289168,10.304647,28.230191,27.277880,0.599968,0.000000,
67,0.416958,0.762744,0.530896,0.382013,0.278396,0.790109,0.790109,0.167047,0.271491,0.302051,0.289995,10.316462,28.900511,27.653185,0.601389,0.000000,
68,0.428041,0.763710,0.583751,0.404436,0.267501,1.015168,1.111432,0.166131,0.269276,0.297896,0.286943,10.283969,28.842245,27.566430,0.600024,0.000000,
69,0.428122,0.769287,0.554657,0.421386,0.267098,0.453253,1.015168,0.167192,0.272413,0.300118,0.289554,10.432169,28.237009,27.337142,0.600191,0.000000,
70,0.417975,0.760596,0.555055,0.426986,0.243026,0.204020,0.453253,0.165025,0.269862,0.299665,0.286395,10.280988,29.018046,27.780755,0.599852,0.000000,
71,0.419027,0.764301,0.559669,0.420069,0.246800,0.204020,0.204020,0.166102,0.269194,0.302677,0.282641,10.272700,29.186049,27.803591,0.597017,0.000000,
72,0.432630,0.769193,0.568058,0.445806,0.257583,0.439199,0.439199,0.165837,0.270929,0.304608,0.285990,10.244638,29.021442,27.677610,0.596169,0.000000,
73,0.421577,0.774820,0.551375,0.412262,0.256591,0.550296,0.669046,0.166205,0.273487,0.300553,0.286841,10.431811,28.270863,27.337984,0.604090,0.000000,
74,0.452912,0.769010,0.541579,0.418562,0.333199,0.550296,0.550296,0.166165,0.270450,0.301587,0.288610,10.282646,28.853107,27.585455,0.599374,0.000000,
75,0.434244,0.769116,0.540945,0.438257,0.277225,0.805917,0.805917,0.165255,0.266817,0.297887,0.283007,10.371681,28.104508,27.193995,0.606274,0.000000,
76,0.418618,0.779909,0.544532,0.369339,0.280061,1.073974,1.073974,0.166953,0.273670,0.306110,0.294671,10.856763,28.396024,27.390549,0.624345,0.000000,
77,0.436798,0.764917,0.544564,0.405110,0.305361,1.418993,1.418993,0.164565,0.267488,0.298170,0.280828,10.525210,28.200097,27.240857,0.610145,0.000000,
78,0.438535,0.772477,0.556655,0.382130,0.320020,2.422229,2.422229,0.166316,0.271238,0.296353,0.272778,10.376245,28.265845,27.369540,0.598852,0.000000,
79,0.440858,0.765935,0.592368,0.409800,0.298948,2.336723,2.450835,0.161771,0.263421,0.289833,0.274797,9.980283,29.035246,27.658479,0.578818,0.000000,
80,0.453896,0.771658,0.553974,0.398921,0.347750,2.336723,2.336723,0.164415,0.267187,0.293867,0.270137,10.194837,28.998724,27.650633,0.595951,0.000000,
81,0.454917,0.782744,0.566905,0.397888,0.341269,1.977313,2.657324,0.163949,0.264959,0.288247,0.263580,10.335916,28.758141,27.639238,0.597827,0.000000,
82,0.450099,0.772979,0.554335,0.378577,0.347089,1.490959,1.977313,0.162752,0.264620,0.286757,0.264849,10.169315,28.904424,27.615947,0.593282,0.000000,
83,0.467874,0.786152,0.572489,0.385983,0.370465,1.490959,1.490959,0.163651,0.266941,0.289408,0.259381,10.342770,28.783114,27.629232,0.595791,0.000000,
84,0.463190,0.773553,0.542354,0.395740,0.367771,2.051271,2.051271,0.161183,0.263334,0.280916,0.247895,9.948438,28.711570,27.589926,0.578467,0.000000,
85,0.477794,0.773241,0.557529,0.478642,0.339460,2.358198,2.358198,0.160563,0.262436,0.276895,0.256690,10.104487,29.010593,27.652872,0.587215,0.000000,
86,0.445906,0.780520,0.556011,0.415165,0.302715,2.536234,2.546984,0.159920,0.260821,0.279313,0.256270,10.102985,28.168715,27.271937,0.583676,0.000000,
87,0.453727,0.775310,0.566573,0.391140,0.339324,2.519550,2.536234,0.158093,0.260108,0.273938,0.251644,10.364043,28.067593,27.352725,0.589633,0.000000,
88,0.477241,0.772191,0.547299,0.408751,0.392628,2.306550,2.519550,0.155040,0.256707,0.267884,0.238273,9.800785,29.036608,27.751279,0.564939,0.000000,
89,0.474163,0.776424,0.591393,0.381140,0.386662,1.744760,2.306550,0.156002,0.254011,0.266394,0.238102,10.143611,28.087962,27.286266,0.579601,0.000000,
90,0.444748,0.774512,0.578437,0.403247,0.308793,1.352545,1.744760,0.152409,0.245364,0.259404,0.233067,10.063578,28.793799,27.676101,0.579516,0.000000,
91,0.491218,0.771378,0.569004,0.408859,0.419453,1.352545,1.352545,0.153102,0.249390,0.260024,0.238024,10.389890,28.058262,27.261550,0.588142,0.000000,
92,0.471805,0.773125,0.579301,0.405596,0.371045,2.053389,2.098353,0.151814,0.247553,0.261176,0.229585,10.061078,28.873626,27.738175,0.572796,0.000000,
93,0.462863,0.771966,0.560271,0.384869,0.373744,1.398023,2.053389,0.147227,0.241397,0.252658,0.224872,9.791422,29.203096,27.930171,0.558272,0.000000,
94,0.461017,0.775781,0.541261,0.440616,0.341364,0.849180,1.398023,0.148441,0.243771,0.252436,0.227521,10.094526,29.005225,27.781187,0.574322,0.000000,
95,0.454461,0.780794,0.568825,0.395647,0.341427,0.793860,0.849180,0.147551,0.244804,0.250579,0.230112,10.429188,27.987045,27.295340,0.585394,0.000000,
96,0.444927,0.775335,0.552191,0.390357,0.330106,0.500910,0.793860,0.148121,0.242518,0.256243,0.223810,10.188138,28.461828,27.512160,0.576371,0.000000,
97,0.446227,0.772784,0.562797,0.385687,0.333056,0.500910,0.500910,0.146863,0.239855,0.248867,0.227125,10.018132,28.962826,27.793533,0.570705,0.000000,
98,0.443919,0.779490,0.573382,0.385537,0.320694,0.576222,0.775775,0.147601,0.246000,0.257543,0.242324,10.924170,28.021268,27.292823,0.602842,0.000000,
99,0.442390,0.768874,0.558366,0.378569,0.331530,0.576222,0.576222,0.148702,0.244176,0.254240,0.226269,10.440083,28.033675,27.326686,0.589179,0.000000,
100,0.445473,0.773745,0.564797,0.402777,0.320619,0.861940,0.861940,0.145513,0.239970,0.248821,0.222406,9.795202,28.862785,27.711695,0.554959,0.000000,
101,0.432276,0.771877,0.544864,0.422783,0.286274,1.714856,1.714856,0.149779,0.246533,0.259574,0.233541,10.632746,27.945585,27.287574,0.593499,0.000000,
102,0.443802,0.773206,0.557501,0.412933,0.314985,1.853445,1.853445,0.151148,0.247718,0.256072,0.231001,10.078520,28.890013,27.739002,0.576791,0.000000,
103,0.467805,0.779803,0.591418,0.391816,0.366306,2.433867,2.433867,0.149104,0.242152,0.248378,0.232026,9.797893,29.012460,27.742338,0.558177,0.000000,
104,0.472976,0.777175,0.565992,0.420124,0.369241,2.858234,3.019952,0.150913,0.245740,0.258538,0.228857,10.094028,28.991656,27.758015,0.577232,0.000000,
105,0.484857,0.788012,0.557829,0.399019,0.409408,2.686716,2.858234,0.149291,0.247629,0.255748,0.228036,9.819716,29.257924,27.863888,0.559898,0.000000,
106,0.489241,0.784168,0.578672,0.409053,0.407443,2.686716,2.686716,0.149729,0.246799,0.260840,0.233087,10.081386,28.807069,27.633067,0.570695,0.000000,
107,0.421563,0.773948,0.572366,0.374979,0.277915,2.714494,2.714494,0.151265,0.248768,0.263358,0.232557,10.318734,28.721344,27.594163,0.582111,0.000000,
