Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.675272,0.706888,0.618195,0.616755,0.726930,0.000000,0.000000,0.211559,0.390441,0.454686,0.499917,19.477904,34.497955,32.460393,0.771531,5.528099,
1,0.675889,0.706594,0.618355,0.617317,0.728003,0.098499,0.402592,0.211647,0.391003,0.454800,0.501277,19.482870,34.541494,32.505524,0.771904,5.704841,
2,0.675626,0.706306,0.618825,0.617095,0.727422,0.095402,0.098499,0.211926,0.391127,0.454932,0.500746,19.483496,34.545151,32.509905,0.771953,5.643794,
3,0.675752,0.706601,0.618847,0.617213,0.727544,0.094700,0.095402,0.211794,0.391281,0.455266,0.500952,19.483631,34.544710,32.508883,0.771939,5.662822,
4,0.675679,0.706661,0.618498,0.617347,0.727406,0.094700,0.094700,0.211968,0.391167,0.454950,0.500939,19.483605,34.542585,32.509120,0.771964,5.654296,
5,0.675640,0.706491,0.618133,0.617431,0.727455,0.095489,0.095604,0.212045,0.391126,0.455656,0.501049,19.483722,34.542472,32.509630,0.771993,5.653411,
6,0.675817,0.706522,0.617933,0.617369,0.727992,0.095489,0.095489,0.211780,0.391419,0.455376,0.501786,19.483530,34.544132,32.509770,0.771926,5.691884,
7,0.675587,0.706555,0.618267,0.617157,0.727440,0.095282,0.095517,0.211766,0.391196,0.454922,0.500407,19.483772,34.543916,32.509186,0.771962,5.628054,
8,0.675659,0.706319,0.618814,0.617183,0.727444,0.095080,0.095282,0.211921,0.391611,0.454891,0.500781,19.483645,34.545845,32.510452,0.771968,5.632497,
9,0.675516,0.706570,0.617931,0.617107,0.727449,0.095080,0.095080,0.211834,0.391192,0.454686,0.502141,19.483603,34.543754,32.510381,0.771952,5.667677,
10,0.675664,0.706922,0.618450,0.617166,0.727434,0.095481,0.095481,0.211998,0.391346,0.454989,0.501800,19.483486,34.544163,32.509938,0.771968,5.671233,
11,0.675587,0.706555,0.618267,0.617157,0.727440,0.095569,0.095569,0.211766,0.391196,0.454922,0.500407,19.483772,34.543916,32.509186,0.771962,5.628268,
12,0.663846,0.705706,0.614597,0.611069,0.704047,0.100783,4.594934,0.212725,0.390753,0.454289,0.499406,19.481343,34.536533,32.504033,0.772464,4.017339,
13,0.664092,0.705416,0.615834,0.610913,0.704316,0.096951,0.100783,0.212689,0.390743,0.453371,0.498874,19.480757,34.535823,32.500322,0.772457,4.033371,
14,0.664146,0.706091,0.615792,0.611101,0.704138,0.096951,0.096951,0.212795,0.390770,0.454383,0.498289,19.480010,34.532470,32.498330,0.772457,4.021825,
15,0.665034,0.708390,0.604360,0.626433,0.699986,1.761163,1.761163,0.213106,0.390432,0.453098,0.497674,19.476168,34.525127,32.488402,0.772624,5.381624,
16,0.667868,0.711772,0.592911,0.648095,0.696923,1.773076,1.773076,0.211175,0.389347,0.453159,0.498825,19.481347,34.521831,32.478130,0.771679,5.867478,
17,0.663773,0.711303,0.601178,0.628791,0.695940,3.678312,3.678312,0.212016,0.388847,0.451765,0.498407,19.487012,34.509080,32.459765,0.772697,6.776210,
18,0.657130,0.714319,0.606053,0.602962,0.693248,2.755756,4.523624,0.211988,0.387353,0.451368,0.496575,19.499420,34.478547,32.426385,0.772428,5.161428,
19,0.658647,0.711773,0.593143,0.610722,0.697925,2.500496,2.755756,0.211731,0.386493,0.449420,0.493458,19.492090,34.450142,32.392183,0.772035,5.115697,
20,0.658925,0.714086,0.599938,0.614976,0.693823,2.500496,2.500496,0.212725,0.386110,0.446911,0.491244,19.497482,34.428671,32.370545,0.772520,5.094583,
21,0.658657,0.707255,0.607839,0.615267,0.691567,2.626748,2.692258,0.211928,0.386587,0.448884,0.491147,19.496223,34.426056,32.359460,0.772136,5.143643,
22,0.662541,0.713817,0.615492,0.622531,0.691343,2.626748,2.626748,0.210254,0.384334,0.446253,0.492473,19.486981,34.411818,32.339928,0.771484,5.801655,
23,0.670028,0.719505,0.605027,0.627510,0.708103,3.251183,3.251183,0.209792,0.381494,0.443252,0.488015,19.486788,34.373170,32.308329,0.771559,7.277684,
24,0.672203,0.718914,0.607722,0.616882,0.718535,3.077774,3.446669,0.211037,0.380958,0.442306,0.487497,19.487332,34.334942,32.274584,0.772351,7.430920,
25,0.667007,0.716278,0.617717,0.616224,0.702915,3.077774,3.077774,0.210066,0.379219,0.439601,0.485641,19.478686,34.308385,32.241279,0.772198,6.745288,
26,0.660353,0.722432,0.604107,0.595740,0.703909,3.398838,3.398838,0.210103,0.376278,0.436764,0.483541,19.478867,34.265197,32.203915,0.772366,6.143505,
27,0.662521,0.719959,0.610542,0.607684,0.699265,4.629757,4.629757,0.208013,0.374969,0.434342,0.477744,19.465990,34.233424,32.173487,0.771618,7.302223,
28,0.651756,0.724207,0.610119,0.603298,0.675487,5.986840,5.986840,0.208209,0.371413,0.428036,0.474277,19.459677,34.183962,32.133343,0.772147,6.963082,
29,0.645873,0.726992,0.604548,0.590965,0.669811,6.888609,6.888609,0.206371,0.367884,0.425303,0.474157,19.450031,34.117122,32.069144,0.772141,7.038334,
30,0.642064,0.731768,0.595121,0.556080,0.685501,7.829691,7.829691,0.205484,0.363191,0.421452,0.463232,19.429080,34.047342,32.009292,0.772048,7.185585,
31,0.641291,0.727645,0.586784,0.569699,0.678661,8.163080,8.163080,0.203753,0.359273,0.415656,0.458280,19.397644,33.953094,31.944362,0.771538,7.396455,
32,0.612861,0.736446,0.610620,0.491271,0.649631,8.333618,8.781945,0.203449,0.351998,0.404165,0.444547,19.344453,33.840254,31.845289,0.771534,3.887873,
33,0.597229,0.742501,0.601559,0.476825,0.622270,8.333618,8.333618,0.201111,0.344724,0.396311,0.437106,19.275661,33.716388,31.736143,0.771382,2.140550,
34,0.590729,0.741424,0.567603,0.503583,0.606376,8.609644,8.609644,0.199739,0.339001,0.387929,0.423347,19.159213,33.566790,31.602782,0.770517,1.578051,
35,0.558488,0.747787,0.553548,0.428333,0.581507,8.934575,8.934575,0.198725,0.330224,0.378090,0.416895,19.014753,33.407814,31.466118,0.771046,0.000000,
36,0.495760,0.736180,0.545506,0.354708,0.487104,8.962727,8.962727,0.196880,0.319553,0.361419,0.397837,18.819620,33.228135,31.299405,0.769241,0.000000,
37,0.461068,0.731732,0.469946,0.332943,0.452791,9.268863,9.501606,0.195622,0.308019,0.347690,0.380807,18.589175,33.021275,31.117143,0.768134,0.000000,
38,0.339985,0.698375,0.390714,0.234763,0.269166,9.237203,9.268863,0.194422,0.297831,0.336010,0.369217,18.300137,32.794830,30.914141,0.766939,0.000000,
39,0.312145,0.692946,0.377725,0.211936,0.228619,9.237203,9.237203,0.189028,0.284046,0.319271,0.351828,17.938330,32.551626,30.692731,0.762774,0.000000,
40,0.279013,0.687841,0.380379,0.204004,0.158941,10.061424,10.061424,0.184184,0.268688,0.299340,0.331435,17.482653,32.270039,30.435537,0.757096,0.000000,
41,0.274306,0.680722,0.376122,0.195171,0.156214,10.963223,10.963223,0.178373,0.254844,0.283683,0.312933,16.929228,31.934125,30.133212,0.747784,0.000000,
42,0.279341,0.675488,0.366829,0.202833,0.167193,11.858118,11.858118,0.167459,0.242404,0.269872,0.300552,16.269052,31.540782,29.781735,0.733356,0.000000,
43,0.274253,0.668351,0.361292,0.203983,0.160430,12.812965,12.812965,0.158532,0.232928,0.260589,0.281102,15.566837,31.154686,29.435697,0.719130,0.000000,
44,0.264991,0.662942,0.357962,0.200589,0.150316,12.968851,12.968851,0.151067,0.224604,0.253334,0.275871,14.895269,30.782000,29.095232,0.703132,0.000000,
45,0.271761,0.664478,0.355509,0.193869,0.168527,11.917809,13.057316,0.144961,0.219511,0.246943,0.268954,14.296455,30.446851,28.783421,0.686335,0.000000,
46,0.271869,0.669906,0.362258,0.206715,0.158972,8.578449,11.917809,0.141942,0.214729,0.241826,0.260773,13.798928,30.172612,28.524232,0.672644,0.000000,
47,0.279958,0.673195,0.366790,0.206012,0.171706,5.882819,8.578449,0.139876,0.214498,0.240730,0.256649,13.504616,30.053374,28.390519,0.665789,0.000000,
48,0.276506,0.677632,0.371197,0.212817,0.161369,3.276105,5.882819,0.140038,0.215000,0.241925,0.258935,13.328788,29.998368,28.331444,0.662706,0.000000,
49,0.277414,0.675931,0.370461,0.216126,0.161156,3.276105,3.276105,0.139954,0.215271,0.243263,0.260841,13.230814,29.967401,28.296791,0.661485,0.000000,
50,0.276904,0.679506,0.373264,0.217573,0.159473,3.636616,3.636616,0.140330,0.216471,0.244615,0.264260,13.170847,29.953946,28.288411,0.661402,0.000000,
51,0.281111,0.681704,0.370693,0.219078,0.167130,4.198751,4.199338,0.141434,0.217808,0.246004,0.266050,13.132288,29.948290,28.298884,0.662775,0.000000,
52,0.282482,0.678854,0.371517,0.216110,0.172511,4.198751,4.198751,0.142384,0.219288,0.246397,0.265483,13.113435,29.942019,28.316863,0.663291,0.000000,
53,0.282152,0.678061,0.370625,0.211521,0.172999,4.993637,4.993637,0.142820,0.219469,0.248196,0.274195,13.134814,29.938708,28.333085,0.665294,0.000000,
54,0.272175,0.678230,0.372891,0.201624,0.156167,5.676936,5.676936,0.142279,0.218330,0.247995,0.267029,13.200962,29.949507,28.366731,0.668064,0.000000,
55,0.274773,0.674682,0.365289,0.218271,0.154088,5.813859,5.813859,0.141874,0.216816,0.244044,0.259291,13.282642,29.955386,28.401493,0.670984,0.000000,
56,0.276367,0.671151,0.370848,0.203796,0.163885,5.891082,5.891082,0.141655,0.217101,0.244799,0.263251,13.350625,29.980663,28.452250,0.673417,0.000000,
57,0.272904,0.667733,0.358764,0.200484,0.162727,6.558511,6.558511,0.141150,0.216303,0.246127,0.268072,13.452070,30.020643,28.517167,0.676614,0.000000,
58,0.260422,0.668861,0.363907,0.191570,0.144406,6.866148,6.866148,0.141462,0.216474,0.245581,0.265011,13.575269,30.059953,28.580687,0.680527,0.000000,
59,0.269322,0.667920,0.361760,0.199128,0.156626,7.033420,7.033420,0.140721,0.216107,0.245472,0.269427,13.698604,30.090613,28.633228,0.683740,0.000000,
60,0.240511,0.666382,0.350413,0.176124,0.113800,7.002034,7.103999,0.128933,0.186698,0.207758,0.216062,9.289246,28.289322,27.471925,0.479578,0.000000,
61,0.252831,0.663335,0.350451,0.173386,0.132539,7.002034,7.002034,0.128226,0.187245,0.204374,0.212593,9.270938,28.287269,27.473678,0.481789,0.000000,
62,0.246443,0.659513,0.346086,0.174403,0.129466,6.913039,7.025901,0.127224,0.183784,0.202869,0.208682,9.261656,28.273704,27.481126,0.482234,0.000000,
63,0.252397,0.658765,0.349228,0.168754,0.137379,6.913039,6.913039,0.125350,0.180370,0.199029,0.204480,9.243533,28.250231,27.472005,0.481171,0.000000,
64,0.241102,0.660482,0.357174,0.159323,0.123207,7.082929,7.082929,0.120994,0.174605,0.192016,0.199325,9.209732,28.211602,27.426722,0.478306,0.000000,
65,0.246873,0.666396,0.352962,0.168304,0.124651,7.088342,7.088342,0.117607,0.169782,0.187144,0.188280,9.166292,28.156743,27.374998,0.473399,0.000000,
66,0.243365,0.666689,0.343705,0.179591,0.115750,7.032142,7.128102,0.115234,0.166024,0.182341,0.181511,9.114619,28.118771,27.367395,0.471013,0.000000,
67,0.246401,0.663009,0.356509,0.168038,0.123292,6.886749,7.032142,0.110839,0.161390,0.175094,0.170604,9.047168,28.034261,27.299639,0.466969,0.000000,
68,0.238457,0.668525,0.356030,0.162981,0.111760,6.559245,6.886749,0.108024,0.157615,0.170081,0.170298,9.011216,27.990728,27.264308,0.464054,0.000000,
69,0.236821,0.668360,0.355494,0.172719,0.104856,6.372945,6.559245,0.105335,0.153537,0.164020,0.166006,8.959482,27.929787,27.211733,0.460773,0.000000,
70,0.245846,0.667536,0.354810,0.185044,0.110140,6.270442,6.372945,0.104555,0.151841,0.161421,0.155812,8.922788,27.869389,27.122412,0.459332,0.000000,
71,0.258838,0.668459,0.362823,0.186559,0.134260,6.270442,6.270442,0.100749,0.146429,0.155634,0.146809,8.837197,27.867735,27.119912,0.454116,0.000000,
72,0.258634,0.668748,0.354830,0.179212,0.145806,6.984541,6.984541,0.102491,0.149836,0.158344,0.153633,8.851115,27.917820,27.165247,0.458336,0.000000,
73,0.241479,0.672510,0.363014,0.176360,0.105090,8.195906,8.402027,0.101136,0.146824,0.155937,0.145230,8.798474,28.008685,27.248549,0.458083,0.000000,
74,0.259056,0.676178,0.365227,0.181738,0.134419,6.773620,8.195906,0.102314,0.148308,0.156261,0.146776,8.800150,28.145366,27.376372,0.462066,0.000000,
75,0.267619,0.675432,0.368563,0.178364,0.158469,6.086513,6.773620,0.103292,0.147674,0.155409,0.149119,8.753499,28.278399,27.462703,0.462332,0.000000,
76,0.263254,0.677768,0.361601,0.184882,0.145710,6.086513,6.086513,0.104331,0.149462,0.156967,0.147252,8.752416,28.386917,27.564374,0.464920,0.000000,
77,0.250361,0.675562,0.365806,0.186044,0.114588,6.388999,6.388999,0.106311,0.152514,0.160658,0.145572,8.783573,28.532788,27.734367,0.469750,0.000000,
78,0.248627,0.678989,0.364177,0.175654,0.115549,5.911283,6.389436,0.108404,0.154933,0.160673,0.149801,8.778623,28.643995,27.822528,0.472743,0.000000,
79,0.252314,0.681411,0.364773,0.179897,0.117539,5.911283,5.911283,0.111743,0.160254,0.168352,0.152941,8.884778,28.733774,27.883280,0.481156,0.000000,
