Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.625653,0.806588,0.584297,0.535908,0.644521,0.000000,0.000000,0.115643,0.265697,0.309428,0.339097,16.569691,34.150117,30.580843,0.516076,3.085667,
1,0.625080,0.804866,0.580070,0.538434,0.643774,0.870602,2.881902,0.129039,0.269293,0.311027,0.339534,16.477719,34.682898,31.251850,0.520758,3.213281,
2,0.630214,0.806743,0.582634,0.539271,0.652953,0.292728,0.870602,0.128717,0.268872,0.311135,0.338669,16.465848,34.830079,31.392446,0.520822,3.441558,
3,0.630380,0.809822,0.590671,0.544616,0.646733,0.031555,0.292728,0.127881,0.269611,0.311747,0.338749,16.467386,34.857722,31.419127,0.520658,3.271725,
4,0.630702,0.812247,0.590406,0.544925,0.646733,0.031555,0.031555,0.127717,0.269491,0.311303,0.339459,16.467116,34.860732,31.422917,0.520661,3.328830,
5,0.626448,0.808477,0.592401,0.541724,0.639643,0.217415,0.217415,0.127082,0.268934,0.311751,0.338957,16.464432,34.858827,31.424071,0.520359,2.985677,
6,0.630668,0.812695,0.590156,0.544620,0.646796,0.218142,0.218142,0.127807,0.269319,0.311623,0.339272,16.466310,34.863945,31.425301,0.520626,3.440851,
7,0.631129,0.811348,0.582351,0.549093,0.648268,0.223609,0.223609,0.128032,0.268757,0.311308,0.337847,16.461728,34.857790,31.420693,0.520367,3.504509,
8,0.630249,0.811885,0.591073,0.543599,0.646372,0.020076,0.224558,0.127658,0.269467,0.311718,0.340170,16.466567,34.863058,31.426452,0.520652,3.275559,
9,0.630550,0.811403,0.590601,0.544308,0.646888,0.020076,0.020076,0.127888,0.269469,0.311497,0.338233,16.466140,34.865089,31.427293,0.520667,3.286752,
10,0.629408,0.810699,0.582871,0.542388,0.648352,0.007963,0.221761,0.127982,0.268983,0.310874,0.338768,16.461334,34.859997,31.421621,0.520379,3.183383,
11,0.629494,0.810955,0.583186,0.542455,0.648327,0.007963,0.007963,0.127930,0.268641,0.311233,0.338942,16.461447,34.859718,31.421674,0.520387,3.205939,
12,0.626615,0.806473,0.592486,0.531888,0.645983,0.751395,0.751395,0.129960,0.271237,0.314503,0.343379,16.475014,34.863954,31.442853,0.522963,3.220428,
13,0.621640,0.804032,0.581314,0.538833,0.635941,1.466047,1.466047,0.129875,0.271547,0.313821,0.341320,16.480584,34.903067,31.485325,0.521961,3.083375,
14,0.623377,0.807489,0.596309,0.537799,0.635029,1.821339,1.821339,0.129706,0.271577,0.314841,0.341357,16.471145,34.961496,31.552938,0.523161,3.495718,
15,0.620220,0.799292,0.593007,0.554871,0.621422,1.823931,1.826380,0.128254,0.269163,0.311064,0.336672,16.463797,35.010045,31.612590,0.521833,3.253814,
