Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.410434,0.783972,0.489409,0.348908,0.322538,0.000000,0.000000,0.060965,0.135426,0.134361,0.134554,13.097648,35.973348,33.817635,0.606032,0.000000,
1,0.425377,0.782231,0.485176,0.401225,0.326934,0.608319,2.206675,0.069710,0.131286,0.129130,0.131722,13.150894,36.374226,34.218397,0.613055,0.000000,
2,0.423410,0.778741,0.486442,0.396539,0.325777,0.405800,0.608319,0.070971,0.130327,0.128702,0.132510,13.156163,36.443119,34.313921,0.613994,0.000000,
3,0.410970,0.781399,0.492250,0.342838,0.327168,0.344455,0.405800,0.069073,0.128866,0.127661,0.132448,13.154548,36.472191,34.372395,0.613570,0.000000,
4,0.423442,0.778571,0.484828,0.397552,0.325733,0.311940,0.344455,0.068541,0.128399,0.127762,0.131414,13.150525,36.471755,34.401591,0.613539,0.000000,
5,0.425694,0.778929,0.486890,0.398269,0.329242,0.291937,0.311940,0.067657,0.127194,0.127198,0.131153,13.149975,36.486611,34.434582,0.613159,0.000000,
6,0.422883,0.777309,0.484224,0.396172,0.325795,0.281703,0.291937,0.067344,0.127466,0.127039,0.131419,13.147559,36.478696,34.442415,0.613278,0.000000,
7,0.425351,0.777949,0.490333,0.398283,0.327556,0.276061,0.281703,0.066960,0.126846,0.126933,0.131732,13.148122,36.482149,34.466145,0.613003,0.000000,
8,0.423701,0.778315,0.485903,0.398039,0.325616,0.273295,0.276061,0.067029,0.127003,0.126767,0.131778,13.146560,36.468398,34.464803,0.613162,0.000000,
9,0.424653,0.777615,0.486075,0.398288,0.327492,0.271994,0.273295,0.066696,0.126598,0.126189,0.131664,13.147653,36.470579,34.477287,0.612935,0.000000,
10,0.423630,0.777758,0.485656,0.397482,0.325979,0.271463,0.271994,0.066891,0.126691,0.126794,0.131463,13.146368,36.461271,34.472967,0.613085,0.000000,
11,0.425129,0.776877,0.489608,0.398263,0.327504,0.271463,0.271463,0.066734,0.126353,0.126239,0.131345,13.147734,36.461806,34.483426,0.612887,0.000000,
12,0.428781,0.781186,0.496575,0.405304,0.329003,0.895722,0.895722,0.069821,0.126753,0.126895,0.131339,13.154395,36.478117,34.492860,0.613687,0.000000,
13,0.400785,0.775572,0.494101,0.312836,0.324697,0.754477,1.416343,0.071067,0.125877,0.126453,0.132261,13.164609,36.500844,34.502528,0.614641,0.000000,
14,0.405645,0.782008,0.490600,0.316850,0.332537,0.754477,0.754477,0.073167,0.126055,0.126353,0.130701,13.154392,36.531182,34.532176,0.614810,0.000000,
15,0.394489,0.776302,0.490979,0.312508,0.311984,0.666986,0.844173,0.071506,0.124445,0.125577,0.130396,13.144878,36.566448,34.577591,0.614701,0.000000,
16,0.393088,0.776047,0.480712,0.319461,0.308533,0.666986,0.666986,0.071427,0.125845,0.126226,0.129103,13.134621,36.577137,34.585100,0.614265,0.000000,
17,0.405502,0.777791,0.482563,0.336449,0.324262,0.890716,0.890716,0.072698,0.125116,0.125197,0.128637,13.128267,36.574743,34.590339,0.614552,0.000000,
18,0.397959,0.777159,0.488343,0.327863,0.310970,1.180843,1.180843,0.072052,0.125890,0.125869,0.128371,13.108363,36.597695,34.621644,0.614549,0.000000,
19,0.393589,0.775009,0.473807,0.325594,0.308425,1.643770,1.643770,0.071846,0.125648,0.125279,0.127825,13.087351,36.634672,34.666742,0.613468,0.000000,
20,0.385221,0.776355,0.476459,0.317426,0.294593,1.531423,1.688341,0.072357,0.125342,0.125280,0.128489,13.070349,36.680844,34.718119,0.613441,0.000000,
21,0.395380,0.776531,0.492363,0.328564,0.305363,1.531423,1.531423,0.072299,0.125561,0.125773,0.128029,13.060273,36.672958,34.717951,0.614356,0.000000,
22,0.383154,0.774072,0.478956,0.318573,0.290853,1.767264,1.886823,0.072718,0.125521,0.126432,0.127816,13.052641,36.648023,34.695908,0.613830,0.000000,
23,0.398702,0.775195,0.477533,0.316606,0.325040,1.721931,1.767264,0.072221,0.125774,0.126264,0.127731,13.042263,36.633234,34.676002,0.613812,0.000000,
24,0.392016,0.776266,0.490885,0.291208,0.321025,1.721931,1.721931,0.072837,0.126486,0.126996,0.128076,13.046344,36.602103,34.638999,0.614390,0.000000,
25,0.405699,0.775385,0.484015,0.327784,0.331431,2.047971,2.047971,0.072157,0.126501,0.126659,0.126048,13.053473,36.570745,34.597427,0.614697,0.000000,
26,0.404280,0.774637,0.479373,0.332061,0.326589,2.161325,2.172692,0.072551,0.126270,0.126840,0.127659,13.055968,36.517577,34.523993,0.614880,0.000000,
27,0.386196,0.773212,0.481660,0.306998,0.299848,2.161325,2.161325,0.072742,0.127075,0.128022,0.127692,13.069327,36.440424,34.440736,0.614232,0.000000,
28,0.389727,0.782170,0.481216,0.308021,0.304500,2.364564,2.364564,0.073230,0.128448,0.129322,0.129012,13.086056,36.343359,34.333769,0.614664,0.000000,
29,0.404685,0.774857,0.488500,0.355009,0.310096,3.149037,3.149037,0.075714,0.130662,0.130811,0.129012,13.116101,36.202128,34.189394,0.614658,0.000000,
30,0.402392,0.781500,0.477106,0.301826,0.339644,3.226987,3.226987,0.075932,0.131917,0.131373,0.127813,13.153586,36.039196,34.020429,0.616619,0.000000,
31,0.421049,0.779900,0.482117,0.322892,0.365796,3.434943,3.434943,0.077403,0.134000,0.133736,0.128989,13.210220,35.859314,33.824199,0.616119,0.000000,
