Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.404948,0.790021,0.518301,0.385080,0.289021,0.000000,0.000000,0.075065,0.151302,0.136249,0.104387,9.728109,30.333033,26.746314,0.428349,0.000000,
1,0.385068,0.781185,0.504463,0.377534,0.263109,1.273816,6.122809,0.071246,0.146818,0.133986,0.104188,9.995981,30.383982,26.771236,0.433569,0.000000,
2,0.391177,0.773415,0.523811,0.370822,0.276365,0.348669,1.273816,0.070541,0.146460,0.134145,0.103836,10.049443,30.405190,26.775545,0.434754,0.000000,
3,0.385423,0.780787,0.515193,0.383334,0.258635,0.282002,0.348669,0.070802,0.146105,0.133480,0.103701,10.059291,30.419753,26.777474,0.434929,0.000000,
4,0.385173,0.775555,0.520289,0.383587,0.257541,0.262147,0.282002,0.070484,0.145895,0.132951,0.104065,10.061901,30.417642,26.777427,0.434937,0.000000,
5,0.392516,0.773718,0.512580,0.387568,0.273465,0.017570,0.262147,0.070634,0.146180,0.134090,0.103219,10.062761,30.417758,26.779397,0.435026,0.000000,
6,0.391472,0.773459,0.500106,0.390552,0.273517,0.017570,0.017570,0.070686,0.146301,0.133586,0.104017,10.062785,30.414880,26.779894,0.435033,0.000000,
7,0.392188,0.779797,0.507288,0.386840,0.273459,0.021886,0.021886,0.070486,0.146176,0.133608,0.103146,10.062145,30.410970,26.779227,0.435013,0.000000,
8,0.394442,0.772696,0.518998,0.388472,0.275249,0.026112,0.026112,0.070441,0.146429,0.134121,0.103406,10.063456,30.414072,26.778786,0.435042,0.000000,
9,0.379812,0.775778,0.503266,0.370243,0.259052,0.021873,0.256869,0.070773,0.146229,0.133524,0.102871,10.061730,30.409519,26.778462,0.434945,0.000000,
10,0.382451,0.775096,0.499823,0.383407,0.258459,0.021873,0.021873,0.070697,0.146311,0.133156,0.104069,10.062970,30.413159,26.777841,0.434951,0.000000,
11,0.385113,0.771947,0.497138,0.369660,0.273273,0.254224,0.254224,0.070479,0.145202,0.132408,0.102356,10.062592,30.409712,26.778194,0.435026,0.000000,
12,0.374069,0.778425,0.476358,0.383112,0.252381,8.643879,8.643879,0.069267,0.145529,0.133426,0.108831,10.015122,30.883851,27.060196,0.446286,0.000000,
13,0.337834,0.774184,0.479247,0.293100,0.226819,10.218310,20.750967,0.063753,0.139161,0.126597,0.102770,10.007859,30.438741,26.928957,0.434794,0.000000,
