Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.404993,0.782983,0.518512,0.380032,0.293540,0.000000,0.000000,0.075690,0.152542,0.137754,0.106658,9.705566,30.323826,26.678702,0.428909,0.000000,
1,0.385199,0.773200,0.504627,0.372362,0.268007,1.273816,6.122809,0.071832,0.147922,0.135405,0.106199,9.986316,30.375446,26.703507,0.434773,0.000000,
2,0.391101,0.767741,0.522710,0.365936,0.280526,0.348669,1.273816,0.071151,0.147642,0.135618,0.105830,10.042504,30.397114,26.707800,0.436062,0.000000,
3,0.384638,0.770910,0.511715,0.378245,0.263093,0.282002,0.348669,0.071368,0.147165,0.134963,0.105583,10.052908,30.411632,26.709722,0.436285,0.000000,
4,0.386126,0.775639,0.520354,0.379473,0.261773,0.262147,0.282002,0.071076,0.147006,0.134345,0.106063,10.055674,30.409518,26.709676,0.436288,0.000000,
5,0.382667,0.766342,0.500376,0.382703,0.261019,0.017570,0.262147,0.071253,0.147401,0.135494,0.105328,10.056518,30.409669,26.711643,0.436368,0.000000,
6,0.392938,0.767608,0.510487,0.385794,0.277339,0.017570,0.017570,0.071307,0.147520,0.135027,0.105999,10.056559,30.406773,26.712140,0.436381,0.000000,
7,0.392279,0.775245,0.507696,0.381860,0.277304,0.021886,0.021886,0.071103,0.147381,0.135037,0.105150,10.055933,30.402856,26.711478,0.436356,0.000000,
8,0.395127,0.779727,0.514531,0.383434,0.279274,0.026112,0.026112,0.071062,0.147584,0.135627,0.105318,10.057269,30.405964,26.711029,0.436395,0.000000,
9,0.380408,0.770327,0.508718,0.364745,0.262890,0.021873,0.256869,0.071343,0.147278,0.134911,0.104786,10.055539,30.401394,26.710716,0.436309,0.000000,
10,0.383108,0.773982,0.500126,0.378140,0.262908,0.021873,0.021873,0.071270,0.147386,0.134583,0.106069,10.056788,30.405027,26.710098,0.436321,0.000000,
11,0.377746,0.769697,0.497780,0.364898,0.260870,0.254224,0.254224,0.071085,0.146314,0.133813,0.104241,10.056398,30.401676,26.710435,0.436367,0.000000,
12,0.373503,0.773717,0.474441,0.383023,0.252848,8.643879,8.643879,0.069366,0.144401,0.133078,0.107813,10.056994,30.839859,26.992269,0.445778,0.000000,
13,0.334205,0.770174,0.473790,0.287972,0.224632,10.218310,20.750967,0.064369,0.141026,0.128657,0.103462,10.018578,30.431019,26.872398,0.436526,0.000000,
14,0.338102,0.770547,0.459187,0.281472,0.238299,10.218310,10.218310,0.062121,0.144501,0.132151,0.106335,10.070007,30.983536,27.077275,0.443963,0.000000,
15,0.305875,0.774179,0.454094,0.268251,0.174531,15.399879,15.695704,0.062035,0.149769,0.134810,0.103041,10.099701,30.927306,27.081491,0.445740,0.000000,
16,0.341957,0.770340,0.458029,0.298007,0.232537,15.285642,15.399879,0.062048,0.150710,0.136338,0.107467,10.044130,30.840243,27.038601,0.446277,0.000000,
17,0.333221,0.771974,0.452896,0.306083,0.213768,14.929371,15.285642,0.061486,0.150620,0.134598,0.103979,10.018367,30.462728,26.871963,0.451339,0.000000,
18,0.297590,0.766520,0.425330,0.220325,0.197965,14.877913,14.929371,0.061396,0.149079,0.135000,0.105345,9.972935,30.539137,26.976635,0.445105,0.000000,
19,0.299477,0.766352,0.433745,0.214515,0.203287,14.836820,14.877913,0.061012,0.146151,0.133281,0.103241,10.101768,30.323856,26.781208,0.440386,0.000000,
20,0.329526,0.763224,0.442483,0.294399,0.218591,14.376869,14.836820,0.056224,0.135020,0.120971,0.097628,8.982283,29.016676,25.510388,0.414211,0.000000,
21,0.332712,0.764917,0.439758,0.302105,0.220995,14.123636,14.376869,0.050963,0.128335,0.116811,0.091057,9.723726,30.295240,26.695740,0.424462,0.500920,
22,0.340209,0.762371,0.453486,0.313480,0.229291,11.699100,14.123636,0.049879,0.126418,0.115423,0.088961,9.228990,28.300230,25.166776,0.412448,0.000000,
23,0.318742,0.762083,0.437803,0.278406,0.208542,8.594272,11.699100,0.049449,0.128144,0.117167,0.091535,9.225132,28.256236,25.147412,0.406521,0.000000,
24,0.343229,0.773342,0.461508,0.323568,0.219031,8.570386,8.594272,0.048995,0.131235,0.120726,0.096349,9.643703,30.140368,26.679487,0.416552,0.000000,
25,0.326752,0.768225,0.451786,0.284389,0.214892,8.570386,8.570386,0.048937,0.131670,0.121147,0.097979,9.715965,29.799680,26.494874,0.420009,0.000000,
26,0.339238,0.778251,0.467855,0.249216,0.252461,8.972413,8.972413,0.046567,0.122829,0.112160,0.088722,9.144108,28.559537,25.203258,0.396549,0.000000,
27,0.319674,0.768098,0.454453,0.304124,0.177390,12.094048,12.094048,0.050145,0.124655,0.114677,0.090102,9.723724,27.587026,24.843071,0.417321,0.000000,
28,0.339285,0.777351,0.468101,0.298866,0.216840,19.578491,19.578491,0.049381,0.126177,0.118511,0.096604,9.232767,28.774149,25.361367,0.389253,4.178471,
29,0.373337,0.781410,0.459811,0.317870,0.277477,18.721777,20.742393,0.053383,0.128019,0.119929,0.097823,10.051793,27.639515,24.842597,0.410540,5.247780,
30,0.353989,0.789159,0.492805,0.312396,0.219918,18.258654,18.721777,0.053566,0.130738,0.122326,0.100682,10.186539,27.692883,24.962596,0.410648,3.640443,
31,0.432279,0.800598,0.522614,0.401008,0.321172,17.827774,18.258654,0.054428,0.136622,0.127396,0.100618,9.973195,28.026190,25.071977,0.404117,7.610230,
32,0.352856,0.808096,0.506126,0.305035,0.207976,15.719893,17.827774,0.051798,0.142122,0.131947,0.101218,10.172543,27.750527,25.113702,0.398699,1.153509,
33,0.381007,0.808927,0.496249,0.310751,0.262740,13.325502,15.719893,0.057292,0.150282,0.137287,0.104738,9.829630,28.054316,25.213208,0.399707,0.585997,
34,0.352369,0.795633,0.477779,0.286366,0.217976,12.562726,13.325502,0.065553,0.160204,0.147699,0.117712,10.079199,27.665273,24.968068,0.407160,0.000000,
35,0.353942,0.799522,0.487015,0.327868,0.191095,12.562726,12.562726,0.080440,0.177889,0.166457,0.129253,10.163896,27.391699,24.883414,0.410578,0.000000,
36,0.343767,0.819925,0.460114,0.287690,0.194950,11.273856,13.633019,0.084482,0.179712,0.168962,0.133626,9.975814,27.728108,25.122577,0.406473,0.000000,
37,0.335125,0.797055,0.497943,0.306800,0.159028,9.082920,11.273856,0.086877,0.187441,0.177853,0.142156,9.727494,27.772002,25.084608,0.396151,0.000000,
38,0.330155,0.795641,0.474662,0.242132,0.196436,7.647831,9.082920,0.096970,0.188650,0.180872,0.149563,9.803020,27.686013,25.117298,0.402270,0.000000,
39,0.410296,0.801101,0.468459,0.303389,0.339831,7.647831,7.647831,0.101791,0.193286,0.187093,0.154556,9.902870,27.554412,25.103438,0.397024,0.000000,
40,0.377397,0.800381,0.510043,0.354547,0.218469,6.131796,7.794518,0.112555,0.198907,0.195116,0.165500,9.466302,28.121737,25.273147,0.392837,0.000000,
41,0.371320,0.805262,0.490091,0.336981,0.222356,4.991738,6.131796,0.113233,0.197368,0.190743,0.161104,9.736788,27.740782,25.203041,0.403155,0.000000,
