0Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.657679,0.820253,0.666683,0.620612,0.638337,0.000000,0.000000,0.160762,0.361155,0.397630,0.418230,14.867001,39.034475,38.123422,0.717406,2.991493,
1,0.669687,0.830382,0.672259,0.635588,0.650516,2.934520,2.934520,0.188331,0.378060,0.411437,0.428126,15.390760,38.335376,37.263775,0.733756,5.868371,
2,0.675262,0.829875,0.679721,0.639017,0.657521,1.784194,3.101028,0.191917,0.379723,0.414423,0.431202,15.923136,37.999812,36.787536,0.740656,5.713534,
3,0.678702,0.829744,0.685593,0.643078,0.660296,1.043033,1.784194,0.195623,0.381275,0.416817,0.432946,16.234508,37.821174,36.524814,0.744478,5.560691,
4,0.680687,0.834237,0.684058,0.647482,0.661283,0.611636,1.043033,0.197534,0.382136,0.418187,0.434212,16.413275,37.705759,36.369647,0.746528,5.482295,
5,0.681921,0.833187,0.686206,0.644364,0.665127,0.400714,0.611636,0.197304,0.383087,0.418370,0.434683,16.514833,37.636259,36.283428,0.747431,5.472075,
6,0.681770,0.832143,0.685289,0.646583,0.664001,0.279441,0.400714,0.197954,0.383311,0.418465,0.435864,16.572926,37.607994,36.234093,0.747948,5.375745,
7,0.683529,0.832960,0.689454,0.649074,0.664765,0.227791,0.279441,0.198823,0.383602,0.420475,0.436414,16.606165,37.592777,36.211341,0.748381,5.560596,
8,0.683572,0.834486,0.687072,0.649999,0.664754,0.227791,0.227791,0.199339,0.383467,0.419514,0.435624,16.624740,37.578645,36.196790,0.748708,5.548521,
9,0.684134,0.832677,0.686655,0.649574,0.666737,0.223927,0.245816,0.198226,0.383565,0.419235,0.436303,16.635310,37.566481,36.183474,0.748568,5.646999,
10,0.682377,0.832254,0.685298,0.647842,0.664516,0.024737,0.223927,0.197237,0.383362,0.419215,0.435169,16.641176,37.554000,36.178450,0.748352,5.259637,
11,0.682153,0.833243,0.683058,0.647802,0.664557,0.024737,0.024737,0.197383,0.383389,0.419359,0.435186,16.644691,37.550881,36.174379,0.748390,5.227280,
12,0.685682,0.835317,0.680277,0.650414,0.671033,0.542230,0.542230,0.199857,0.384706,0.421068,0.436372,16.658908,37.546614,36.141768,0.749716,6.026010,
13,0.681598,0.831515,0.679970,0.649243,0.663846,0.776673,0.776673,0.200972,0.385349,0.421460,0.435655,16.637350,37.556177,36.173104,0.748453,5.598087,
14,0.686384,0.830563,0.691049,0.643272,0.674096,0.695394,0.959601,0.201183,0.385746,0.421984,0.437831,16.639402,37.597368,36.190105,0.748869,6.214756,
15,0.685503,0.835180,0.698792,0.636466,0.672349,0.695394,0.695394,0.200136,0.384114,0.419390,0.436578,16.597480,37.590086,36.202110,0.748490,6.141051,
16,0.682081,0.835038,0.685700,0.650271,0.661852,0.894127,0.894127,0.199276,0.385833,0.421917,0.437018,16.631385,37.606869,36.214358,0.749036,5.783145,
17,0.680123,0.831715,0.688080,0.641778,0.662312,0.928336,1.329556,0.199421,0.381141,0.417812,0.436125,16.595394,37.631144,36.211356,0.747242,5.699431,
18,0.677625,0.827672,0.684574,0.638795,0.660648,0.897816,0.928336,0.200899,0.381657,0.418079,0.434954,16.602259,37.590981,36.198988,0.747966,5.280936,
19,0.681027,0.831605,0.687338,0.642229,0.664244,0.897816,0.897816,0.201590,0.385848,0.421195,0.436292,16.622596,37.614455,36.229659,0.749648,5.602211,
20,0.684932,0.827782,0.685974,0.643287,0.673302,0.999914,1.073148,0.200303,0.386737,0.421847,0.437546,16.606412,37.629306,36.222619,0.748569,6.213404,
21,0.687369,0.835348,0.692092,0.642345,0.675451,0.999914,0.999914,0.200451,0.385010,0.420708,0.436340,16.580771,37.633890,36.240949,0.748324,6.573678,
22,0.687779,0.831075,0.684407,0.645305,0.677946,1.079116,1.752688,0.199677,0.383936,0.420324,0.437420,16.586158,37.638153,36.255829,0.747770,6.761244,
23,0.690904,0.838086,0.692198,0.653769,0.675693,0.754753,1.079116,0.201727,0.385312,0.421395,0.438401,16.557119,37.651778,36.272303,0.749060,6.892585,
24,0.688794,0.832369,0.677891,0.659883,0.673886,0.684373,0.754753,0.200363,0.384382,0.421180,0.438688,16.536983,37.655174,36.277225,0.748725,6.610826,
25,0.691237,0.833530,0.687360,0.657828,0.676754,0.470528,0.684373,0.201597,0.385305,0.421463,0.438887,16.538451,37.668079,36.283618,0.749017,6.740343,
26,0.689767,0.836924,0.685054,0.657213,0.673850,0.470528,0.470528,0.201967,0.386764,0.422477,0.438198,16.549301,37.680722,36.305076,0.748741,6.467732,
27,0.688290,0.831904,0.691831,0.652809,0.672172,0.648835,0.648835,0.198619,0.381933,0.417229,0.433622,16.555856,37.690427,36.307081,0.746896,6.509374,
28,0.690657,0.836697,0.695474,0.643973,0.679857,0.664448,0.664448,0.196593,0.382219,0.417681,0.434289,16.564929,37.712729,36.299762,0.746407,6.867118,
