Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.410466,0.851347,0.560832,0.328497,0.273580,0.000000,0.000000,0.143140,0.245922,0.252497,0.233722,12.609874,31.388322,29.152782,0.579580,0.000000,
1,0.400664,0.845343,0.561716,0.314966,0.261223,0.260751,0.679788,0.159891,0.248622,0.253980,0.234998,12.653784,31.332690,29.101330,0.583201,0.000000,
2,0.399917,0.855684,0.542478,0.310472,0.266129,0.212021,0.260751,0.160659,0.249219,0.254333,0.235883,12.662808,31.320827,29.092319,0.583737,0.000000,
3,0.414646,0.842552,0.555203,0.373962,0.261098,0.198771,0.212021,0.160637,0.249469,0.255014,0.234434,12.666980,31.314176,29.085591,0.583813,0.000000,
4,0.413504,0.838993,0.551920,0.337423,0.282376,0.196696,0.198771,0.160272,0.249192,0.255546,0.237405,12.667274,31.313763,29.086558,0.583889,0.000000,
5,0.412918,0.839731,0.557883,0.345587,0.273747,0.194759,0.196696,0.159954,0.249514,0.255342,0.236783,12.668397,31.310095,29.083351,0.583828,0.000000,
6,0.413641,0.848095,0.547567,0.359178,0.268753,0.194759,0.194759,0.159844,0.249304,0.254383,0.235932,12.667780,31.311867,29.085381,0.583867,0.000000,
7,0.426306,0.855078,0.571175,0.361280,0.287115,0.713525,0.713525,0.162458,0.250033,0.255665,0.236232,12.674085,31.329093,29.104221,0.584251,0.000000,
8,0.421297,0.854047,0.537877,0.328270,0.307410,2.777946,2.777946,0.163876,0.250758,0.255517,0.233011,12.701982,31.405793,29.173287,0.585937,0.000000,
9,0.431125,0.869399,0.522687,0.362074,0.303336,3.964348,3.964348,0.166883,0.252386,0.255626,0.231665,12.727983,31.524005,29.283185,0.585316,0.000000,
10,0.414403,0.862472,0.541531,0.316554,0.286029,5.930411,5.930411,0.159613,0.238217,0.240718,0.214876,12.747510,31.699688,29.453927,0.580546,0.000000,
11,0.451453,0.842791,0.545158,0.397670,0.327569,7.579795,7.579795,0.152268,0.223733,0.223862,0.201894,12.842102,31.909869,29.638164,0.573980,0.000000,
12,0.400586,0.851905,0.537352,0.335321,0.252012,9.328294,9.328294,0.141208,0.209532,0.210145,0.191357,13.084337,32.132616,29.812656,0.567349,0.000000,
13,0.383384,0.824452,0.549131,0.286048,0.251752,14.243427,14.243427,0.129863,0.195792,0.196144,0.177950,13.368415,32.558421,30.257658,0.567066,0.000000,
14,0.416937,0.818191,0.549303,0.340759,0.299909,8.967351,14.976589,0.117934,0.183234,0.182680,0.169263,13.482012,32.886292,30.813336,0.579222,0.000000,
15,0.391821,0.810887,0.513916,0.313865,0.274260,4.412045,8.967351,0.113732,0.178914,0.176533,0.164923,13.589690,33.035629,31.053980,0.582275,0.000000,
16,0.422090,0.813730,0.532047,0.306015,0.343997,2.130651,4.412045,0.111307,0.176363,0.174663,0.165718,13.630717,33.096822,31.141178,0.583195,0.000000,
17,0.452609,0.872157,0.541511,0.360570,0.363341,1.728588,2.130651,0.109505,0.174742,0.172526,0.163373,13.628656,33.121359,31.187706,0.583437,0.000000,
18,0.396093,0.826734,0.536196,0.377397,0.244114,1.728588,1.728588,0.108500,0.173527,0.171850,0.165312,13.589976,33.088816,31.161886,0.582473,0.000000,
19,0.384709,0.811744,0.530707,0.317149,0.260753,3.325472,3.325472,0.108099,0.172969,0.172564,0.165761,13.529315,33.052986,31.118501,0.581180,0.000000,
20,0.444608,0.844350,0.494838,0.453477,0.311339,3.469973,3.469973,0.111038,0.176853,0.176962,0.168467,13.503862,32.945703,31.020403,0.582422,0.000000,
21,0.466002,0.820166,0.502578,0.410878,0.384777,3.532482,3.532482,0.112038,0.179895,0.179945,0.169686,13.479863,32.866192,30.934951,0.582274,0.000000,
