Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.664436,0.705119,0.616919,0.623056,0.697141,0.000000,0.000000,0.220699,0.372825,0.407213,0.429288,13.916293,43.747254,41.952302,0.704711,2.894169,
1,0.661762,0.703228,0.615748,0.620630,0.693484,0.135623,1.666024,0.220872,0.372684,0.406966,0.428563,13.845405,43.606132,41.779162,0.703061,2.633616,
2,0.662020,0.703946,0.615913,0.621711,0.693155,0.098588,0.135623,0.220976,0.372721,0.406694,0.429180,13.840675,43.601615,41.771389,0.702936,2.652405,
3,0.661454,0.704236,0.616561,0.619037,0.693188,0.098375,0.098588,0.220967,0.372566,0.406749,0.428759,13.840275,43.598593,41.767049,0.702978,2.575508,
4,0.661198,0.703761,0.614125,0.618553,0.693952,0.098057,0.098375,0.220743,0.372456,0.406551,0.428166,13.840237,43.596203,41.765684,0.702926,2.536594,
5,0.661109,0.703537,0.614724,0.619209,0.693190,0.097177,0.098057,0.220817,0.372618,0.406738,0.428586,13.840163,43.598125,41.769246,0.702915,2.526130,
6,0.661960,0.703901,0.615211,0.620348,0.694125,0.097177,0.097177,0.220808,0.372501,0.406774,0.429344,13.840222,43.598829,41.767379,0.702920,2.656950,
7,0.661990,0.703990,0.615726,0.621727,0.693138,0.097730,0.098023,0.220782,0.372954,0.406854,0.429547,13.840190,43.599730,41.769999,0.702927,2.649145,
8,0.661457,0.704260,0.616561,0.619037,0.693188,0.000000,0.097730,0.220992,0.372556,0.406586,0.428558,13.840263,43.599159,41.766730,0.702979,2.501839,
9,0.661457,0.704260,0.616561,0.619037,0.693188,0.000000,0.000000,0.220992,0.372556,0.406586,0.428558,13.840263,43.599159,41.766730,0.702979,2.501839,
10,0.661109,0.703537,0.614724,0.619209,0.693190,0.097177,0.098357,0.220817,0.372618,0.406738,0.428586,13.840163,43.598125,41.769246,0.702915,2.526130,
11,0.661960,0.703901,0.615211,0.620348,0.694125,0.097177,0.097177,0.220808,0.372501,0.406774,0.429344,13.840222,43.598829,41.767379,0.702920,2.656950,
12,0.666855,0.709086,0.626294,0.623860,0.697135,1.076650,1.125696,0.220631,0.371530,0.405044,0.428881,13.810326,43.576177,41.763271,0.702232,4.036112,
13,0.663122,0.709759,0.622898,0.625713,0.688369,0.756675,1.076650,0.221811,0.373050,0.406892,0.430392,13.808223,43.540303,41.724727,0.703565,3.274633,
14,0.652492,0.707112,0.622323,0.636198,0.659277,0.756675,0.756675,0.221106,0.372331,0.406466,0.430164,13.790341,43.586585,41.757153,0.703843,1.934357,
15,0.655824,0.701595,0.617468,0.636897,0.669671,0.760508,1.921452,0.220208,0.370428,0.404509,0.430648,13.796108,43.458486,41.660534,0.702535,2.463631,
16,0.650707,0.698994,0.608744,0.636323,0.662674,0.760508,0.760508,0.221142,0.371427,0.405445,0.430971,13.790155,43.602000,41.768476,0.704451,1.763409,
17,0.647356,0.699983,0.609427,0.626492,0.660532,1.255229,1.255229,0.219666,0.370100,0.404291,0.430921,13.724596,43.602968,41.788801,0.702225,1.762177,
18,0.638310,0.684375,0.600936,0.612629,0.655960,2.080645,2.080645,0.219594,0.369299,0.403728,0.431221,13.741798,43.637443,41.794404,0.702627,1.252619,
19,0.643471,0.693993,0.601352,0.622726,0.658819,2.266810,2.266810,0.218962,0.367620,0.401677,0.429572,13.671035,43.668176,41.828292,0.700599,2.086153,
20,0.638372,0.692190,0.602804,0.621241,0.648255,1.595593,2.819515,0.219006,0.366425,0.400933,0.428202,13.629422,43.445335,41.625938,0.699465,0.971695,
21,0.639917,0.687725,0.600361,0.625516,0.651359,1.384546,1.595593,0.217167,0.365843,0.399796,0.426770,13.605941,43.591723,41.731335,0.699365,1.032746,
22,0.644677,0.692418,0.607974,0.625312,0.658074,1.384546,1.384546,0.217883,0.365789,0.399463,0.424803,13.585324,43.638767,41.814590,0.699068,1.587378,
23,0.636670,0.691444,0.602004,0.596046,0.660845,1.470389,1.807796,0.217486,0.365179,0.398960,0.421950,13.583460,43.545621,41.703674,0.700072,0.612733,
24,0.636577,0.687474,0.612406,0.598612,0.656242,0.724672,1.470389,0.217166,0.364707,0.398670,0.420623,13.557001,43.735559,41.872211,0.698411,0.067915,
25,0.645664,0.688450,0.601550,0.615312,0.670312,0.724672,0.724672,0.217065,0.365552,0.399581,0.420254,13.562847,43.659321,41.823395,0.699436,1.163603,
26,0.640732,0.695898,0.609244,0.589439,0.671065,0.787244,1.108715,0.217542,0.364572,0.398953,0.421710,13.553575,43.585256,41.748073,0.698315,0.652127,
27,0.643525,0.697421,0.610796,0.590746,0.676469,0.787244,0.787244,0.216458,0.363261,0.397345,0.420481,13.524907,43.620472,41.778415,0.697654,1.047558,
28,0.636916,0.696251,0.615359,0.602832,0.651486,1.768805,1.768805,0.217598,0.365764,0.399543,0.425735,13.600316,43.440440,41.620042,0.698880,0.909623,
29,0.639000,0.697717,0.613769,0.598993,0.658995,1.830415,2.290873,0.218517,0.366883,0.400268,0.427098,13.617340,43.600937,41.783450,0.700714,1.188780,
30,0.641202,0.699014,0.609603,0.587045,0.672626,1.830415,1.830415,0.218953,0.367603,0.401438,0.428971,13.642596,43.603224,41.772339,0.701003,1.469057,
31,0.643662,0.698002,0.607771,0.606166,0.666861,2.259683,2.259683,0.219015,0.367078,0.401078,0.429260,13.659954,43.524916,41.695813,0.700117,2.120648,
32,0.649394,0.699887,0.616339,0.609201,0.674490,3.493870,3.493870,0.220450,0.370917,0.404996,0.432245,13.720560,43.559990,41.765387,0.702022,3.664252,
33,0.661377,0.700778,0.608181,0.640236,0.684661,4.998271,4.998271,0.220773,0.372619,0.405945,0.428844,13.772624,43.490988,41.662776,0.703552,6.232406,
34,0.670495,0.697220,0.604755,0.641061,0.706070,6.077670,6.077670,0.222454,0.375734,0.410143,0.431227,13.921527,43.520195,41.672723,0.708364,8.205754,
35,0.672895,0.706663,0.613398,0.668787,0.689035,8.281638,8.281638,0.224695,0.378090,0.412657,0.439561,14.104923,43.428821,41.568166,0.711881,10.390843,
36,0.660650,0.704641,0.631848,0.660596,0.659921,8.386440,8.386440,0.225586,0.382058,0.416813,0.438814,14.190526,43.352171,41.523639,0.715955,8.652547,
37,0.675854,0.711875,0.628347,0.619343,0.724070,8.939195,8.939195,0.229070,0.386873,0.421003,0.446217,14.329385,43.397227,41.543185,0.721774,11.149493,
38,0.687701,0.717483,0.641112,0.680068,0.702690,9.314464,10.372212,0.234962,0.395115,0.429297,0.451489,14.565498,43.268576,41.525657,0.728445,12.911962,
